,habitat_id,habitat_code,habitat_priority,habitat_np,habitat_cover,habitat_caves,habitat_data_quality,habitat_representativity,habitat_relative_surface,habitat_conservation,habitat_global,site_code,habitat_cover_ha,year,id_reporte
74,11592,9550,0,0,,,G,B,C,B,B,ES7020091,204.93,2023,135
75,11517,4050,0,0,,,G,B,B,B,B,ES7020091,787.61,2023,135
76,11585,9360,0,0,,,G,A,C,A,A,ES7020091,179.11,2023,135
77,11469,1170,0,0,1.0,,P,A,C,A,A,ES0000256,5.673,2023,135
78,11481,1430,0,0,1.0,,M,B,C,B,B,ES0000256,0.109,2023,135
79,11466,1140,0,0,,,M,B,B,A,B,ES0000001,509.53,2023,135
80,11473,1230,0,0,9.15,,G,A,B,A,A,ES0000001,115.2,2023,135
81,11486,2130,0,0,0.06,,G,A,C,A,A,ES0000001,16.64,2023,135
82,11471,1210,0,0,0.04,,G,A,C,A,A,ES0000001,0.85,2023,135
83,11480,1420,0,0,0.01,,G,A,C,A,A,ES0000001,0.78,2023,135
84,11484,2110,0,0,0.3,,G,A,C,A,A,ES0000001,0.5,2023,135
85,11564,8330,0,0,,,G,A,C,A,A,ES0000001,1.21,2023,135
86,11468,1160,0,0,,,M,A,B,A,A,ES0000001,490.02,2023,135
87,11560,8230,0,0,1.51,,G,A,C,A,A,ES0000001,105.52,2023,135
88,11485,2120,0,0,0.06,,G,A,C,A,A,ES0000001,4.86,2023,135
89,11469,1170,0,0,,,M,A,C,A,A,ES0000001,541.36,2023,135
90,11494,2260,0,0,0.03,,G,B,C,A,B,ES0000001,3.58,2023,135
91,11467,1150,0,0,,,G,A,C,A,A,ES0000001,9.1,2023,135
92,11562,8310,0,0,,,G,B,C,A,B,ES0000001,0.64,2023,135
93,11538,6220,0,0,,,G,B,C,A,B,ES0000001,1.78,2023,135
94,11515,4030,0,0,4.54,,G,B,C,A,B,ES0000001,190.17,2023,135
95,11559,8220,0,0,,,G,B,C,A,B,ES0000001,2.38,2023,135
96,11463,1110,0,0,,,M,A,C,A,A,ES0000001,490.02,2023,135
97,11491,2230,0,0,0.01,,G,B,C,A,B,ES0000001,0.5,2023,135
98,11478,1330,0,0,0.01,,G,A,C,A,A,ES0000001,0.84,2023,135
99,11537,6210,1,0,,,M,A,C,B,B,ES0000003,1069.81,2023,135
100,11549,7140,0,0,,,M,B,C,B,A,ES0000003,31.59,2023,135
101,11544,6510,0,0,,,G,B,C,B,B,ES0000003,759.82,2023,135
102,11558,8210,0,0,,,G,A,C,A,A,ES0000003,1768.27,2023,135
103,11522,5120,0,0,,,G,B,C,B,C,ES0000003,612.11,2023,135
104,11576,9230,0,0,,,G,B,C,B,C,ES0000003,451.53,2023,135
105,11505,3220,0,0,,,P,D,,,,ES0000003,6.84,2023,135
106,11557,8130,0,0,,,G,A,C,A,A,ES0000003,1368.8,2023,135
107,11539,6230,0,0,,,G,B,C,B,A,ES0000003,344.37,2023,135
108,11569,9150,0,0,,,G,B,C,B,B,ES0000003,599.04,2023,135
109,11514,4020,0,0,,,M,C,C,B,C,ES0000003,19.74,2023,135
110,11501,3150,0,0,,,M,C,C,B,C,ES0000003,0.08,2023,135
111,11535,6160,0,0,,,G,B,C,B,B,ES0000003,63.5,2023,135
112,11520,4090,0,0,,,G,A,C,A,A,ES0000003,3565.32,2023,135
113,11566,9120,0,0,,,G,A,C,A,A,ES0000003,4687.24,2023,135
114,11509,3260,0,0,,,P,D,,,,ES0000003,13.68,2023,135
115,11502,3160,0,0,,,P,D,,,,ES0000003,0.79,2023,135
116,11560,8230,0,0,,,G,B,C,B,C,ES0000003,83.89,2023,135
117,11541,6410,0,0,,,P,D,,,,ES0000003,0.8,2023,135
118,11497,3110,0,0,,,M,C,C,B,C,ES0000003,0.2,2023,135
119,11515,4030,0,0,,,G,B,C,B,B,ES0000003,618.48,2023,135
120,11577,9240,0,0,,,G,B,C,B,B,ES0000003,146.7,2023,135
121,11532,6110,0,0,,,P,D,,,,ES0000003,1.67,2023,135
122,11552,7220,0,0,,,M,B,C,B,B,ES0000003,3.84,2023,135
123,11570,9160,0,0,,,M,C,B,B,B,ES0000003,342.07,2023,135
124,11587,9380,0,0,,,M,B,C,B,B,ES0000003,7.11,2023,135
125,11500,3140,0,0,,,G,C,C,B,C,ES0000003,0.11,2023,135
126,11553,7230,0,0,,,G,B,C,B,A,ES0000003,7.39,2023,135
127,11543,6430,0,0,,,M,B,C,B,A,ES0000003,136.83,2023,135
128,11571,9180,0,0,,,M,B,B,B,A,ES0000003,415.42,2023,135
129,11518,4060,0,0,,,G,B,C,B,B,ES0000003,321.2,2023,135
130,11559,8220,0,0,,,G,B,C,B,B,ES0000003,56.01,2023,135
131,11562,8310,0,0,,,P,B,C,B,B,ES0000003,237.8,2023,135
132,11507,3240,0,0,,,M,C,C,B,B,ES0000003,13.68,2023,135
133,11584,9340,0,0,,,G,B,C,B,B,ES0000003,113.75,2023,135
134,11546,7110,0,0,,,M,C,C,B,B,ES0000003,11.84,2023,135
135,11574,91E0,0,0,,,G,C,C,B,B,ES0000003,615.72,2023,135
136,11536,6170,0,0,,,G,A,C,A,A,ES0000003,1547.25,2023,135
137,11581,92D0,0,0,3.0,,G,B,C,B,B,ES0000013,131.74,2023,135
138,11584,9340,0,0,,,G,B,C,B,B,ES0000013,30.16,2023,135
139,11476,1310,0,0,,,G,B,C,B,B,ES0000013,3.18,2023,135
140,11542,6420,0,0,,,G,B,C,C,C,ES0000013,7.3,2023,135
