species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
11219,B,A161,Tringa erythropus,,,c,1.0,5.0,i,,G,C,C,C,C,ES0000408,2023,135,202,36.0
11211,B,A232,Upupa epops,,,w,11.0,50.0,i,,M,C,C,C,C,ES0000335,2023,135,63,36.0
10939,F,5303,Cobitis calderoni,,,p,,,,C,DD,C,C,C,B,ES4120071,2023,135,201,
14001,B,A005,Podiceps cristatus,,,w,,8.0,i,P,G,C,B,C,C,ES0000048,2023,135,63,36.0
12231,B,A259,Anthus spinoletta,,,w,,,,C,DD,C,B,C,B,ES2110018,2023,135,63,
11060,F,6168,Luciobarbus comizo,,,p,34.0,34.0,grids1x1,,P,C,C,C,C,ES4320021,2023,135,201,22.0
11841,B,A030,Ciconia nigra,,,c,1.0,1.0,i,,G,C,C,C,C,ES0000355,2023,135,202,36.0
11796,B,A333,Tichodroma muraria,,,w,,,,P,DD,C,C,C,C,ES0000303,2023,135,63,
14010,B,A387,Bulweria bulwerii,,,r,,,,P,,,B,C,B,ES0000350,2023,135,62,
12059,M,1301,Galemys pyrenaicus,,,p,,,,R,DD,C,C,B,A,ES4170144,2023,135,201,
10820,M,1308,Barbastella barbastellus,,,r,,,,P,DD,C,B,C,C,ES0000035,2023,135,62,
10659,F,6975,Squalius alburnoides,,,p,,,,P,DD,D,,,,ES0000035,2023,135,201,
11055,B,A338,Lanius collurio,,,r,21.0,36.0,p,,M,C,,C,,ES5120002,2023,135,62,34.0
10739,B,A072,Pernis apivorus,,,r,,,,C,DD,C,B,C,C,ES0000003,2023,135,62,
12321,B,A096,Falco tinnunculus,,,r,11.0,50.0,p,P,G,C,A,C,A,ES0000234,2023,135,62,34.0
16315,B,A127,Grus grus,,,w,1001.0,10000.0,i,,G,B,B,C,B,ES0000014,2023,135,63,36.0
14061,B,A604,Larus michahellis,,,p,,,,P,DD,D,,,,ES0000490,2023,135,201,
11885,B,A165,Tringa ochropus,,,c,,,,R,DD,C,B,C,C,ES0000184,2023,135,202,
11484,B,A168,Actitis hypoleucos,,,c,,,,R,DD,C,B,C,C,ES0000194,2023,135,202,
10714,I,1065,Euphydryas aurinia,,,p,2.0,2.0,grids10x10,P,P,C,,C,,ES5130015,2023,135,201,47.0
33094,B,A855,Mareca penelope,,,w,6.0,35.0,i,,G,C,A,B,B,ES0000011,2023,135,63,36.0
10659,F,6975,Squalius alburnoides,,,p,1000.0,1000.0,i,P,M,C,B,B,C,ES0000053,2023,135,201,36.0
11963,B,A103,Falco peregrinus ([including pelegrinoides]),,,pd,,,,,,,,,,ES7020049,2023,135,204,
12378,B,A142,Vanellus vanellus,,,w,1.0,250.0,i,,G,C,A,C,A,ES0000017,2023,135,63,36.0
4412,P,1603,Eryngium viviparum,,,p,1.0,1.0,grids1x1,V,M,C,C,C,B,ES4190067,2023,135,201,22.0
11024,B,A081,Circus aeruginosus,,,w,,,,P,DD,D,,,,ES0000200,2023,135,63,
14079,B,A193,Sterna hirundo,,,pd,,,,,,,,,,ES0000345,2023,135,204,
11211,B,A232,Upupa epops,,,p,,,,C,DD,C,B,C,B,ES0000269,2023,135,201,
11211,B,A232,Upupa epops,,,w,6.0,10.0,i,,M,C,C,C,C,ES0000426,2023,135,63,36.0
11332,A,1194,Discoglossus galganoi,,,p,,,,R,DD,C,C,C,A,ES4120066,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,,C,DD,C,B,C,B,ES4250005,2023,135,201,
12429,F,6162,Pseudochondrostoma willkommii,,,p,,,,P,DD,D,,,,ES6120003,2023,135,201,
12362,B,A302,Sylvia undata,,,p,404.0,692.0,p,,M,C,,C,,ES5130032,2023,135,201,34.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,c,10.0,100.0,p,,G,C,B,C,C,ES4310004,2023,135,202,34.0
11627,M,1352,Canis lupus,,,c,,,,V,DD,D,,,,ES5120003,2023,135,202,
32348,B,A851,Calonectris borealis,,,pd,,,,,,,,,,ES0000350,2023,135,204,
11024,B,A081,Circus aeruginosus,,,p,3.0,3.0,p,,P,C,B,C,B,ES4240023,2023,135,201,34.0
12000,B,A053,Anas platyrhynchos,,,np,,,,P,,,,,,ES0000328,2023,135,203,
11011,B,A054,Anas acuta,,,w,1.0,65.0,i,P,M,C,C,C,B,ES0000027,2023,135,63,36.0
10888,B,A091,Aquila chrysaetos,,,p,7.0,7.0,p,,G,C,B,C,B,ES0000067,2023,135,201,34.0
11264,M,1304,Rhinolophus ferrumequinum,,,p,2.0,2.0,grids10x10,P,P,C,,C,,ES5120016,2023,135,201,47.0
12059,M,1301,Galemys pyrenaicus,,,p,,,,V,DD,C,C,B,B,ES4120071,2023,135,201,
12316,B,A245,Galerida theklae,,,p,,,,R,DD,D,,,,ES2110018,2023,135,201,
11632,A,1172,Chioglossa lusitanica,,,p,,,,P,DD,C,B,A,B,ES1140010,2023,135,201,
