species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
10739,B,A072,Pernis apivorus,,,r,,,,V,DD,C,B,C,C,ES0000185,2023,135,62,
10664,B,A138,Charadrius alexandrinus,,,w,33.0,75.0,i,,G,C,B,B,B,ES0000329,2023,135,63,36.0
10896,B,A028,Ardea cinerea,,,w,3.0,46.0,i,,G,C,A,C,A,ES0000296,2023,135,63,36.0
10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,C,C,C,C,ES0000206,2023,135,201,
10738,B,A230,Merops apiaster,,,r,,,,C,DD,D,,,,ES6180017,2023,135,62,
10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000468,2023,135,62,
10739,B,A072,Pernis apivorus,,,r,,,,V,DD,C,B,C,C,ES0000188,2023,135,62,
10917,B,A215,Bubo bubo,,,p,,,,P,DD,C,B,C,B,ES0000182,2023,135,201,
10801,B,A132,Recurvirostra avosetta,,,r,,5.0,p,V,G,C,C,C,B,ES0000359,2023,135,62,34.0
10701,B,A043,Anser anser,,,w,11.0,50.0,i,C,G,C,C,C,C,ES0000143,2023,135,63,36.0
10888,B,A091,Aquila chrysaetos,,,w,,,,R,DD,D,,,,ES0000275,2023,135,63,
10930,B,A399,Elanus caeruleus,,,c,,,,V,DD,D,,,,ES0000010,2023,135,202,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,35.0,35.0,p,C,G,C,B,C,C,ES4140036,2023,135,62,34.0
10786,B,A125,Fulica atra,,,r,6.0,452.0,p,,G,C,B,C,B,ES0000484,2023,135,62,34.0
10894,B,A264,Cinclus cinclus,,,p,,,,R,DD,C,C,C,C,ES0000118,2023,135,201,
10896,B,A028,Ardea cinerea,,,c,11.0,50.0,i,,G,C,B,C,C,ES0000071,2023,135,202,36.0
10896,B,A028,Ardea cinerea,,,r,26.0,30.0,p,,G,C,C,C,C,ES0000434,2023,135,62,34.0
10733,B,A335,Certhia brachydactyla,,,r,11.0,50.0,p,C,G,C,B,C,B,ES0000143,2023,135,62,34.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,,,,C,DD,C,B,C,C,ES0000219,2023,135,62,
10766,B,A298,Acrocephalus arundinaceus,,,r,5.0,12.0,p,,M,C,,C,,ES0000021,2023,135,62,34.0
10922,B,A087,Buteo buteo,,,p,,,,R,DD,C,B,B,C,ES0000257,2023,135,201,
10937,B,A242,Melanocorypha calandra,,,p,,,,R,DD,D,,,,ES0000370,2023,135,201,
10896,B,A028,Ardea cinerea,,,w,1.0,2.0,i,,G,D,,,,ES0000465,2023,135,63,36.0
10664,B,A138,Charadrius alexandrinus,,,w,,6.0,i,,G,D,,,,ES0000487,2023,135,63,36.0
10734,B,A243,Calandrella brachydactyla,,,r,,,,C,DD,C,C,C,B,ES4140036,2023,135,62,
10896,B,A028,Ardea cinerea,,,c,11.0,50.0,i,,G,C,C,C,C,ES0000398,2023,135,202,36.0
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000190,2023,135,62,
10888,B,A091,Aquila chrysaetos,,,p,4.0,5.0,p,C,G,C,B,C,B,ES0000193,2023,135,201,34.0
10750,B,A246,Lullula arborea,,,p,439.0,513.0,p,,M,C,,C,,ES0000322,2023,135,201,34.0
10664,B,A138,Charadrius alexandrinus,,,r,,3.0,p,P,G,C,C,C,C,ES6180017,2023,135,62,34.0
10750,B,A246,Lullula arborea,,,p,501.0,1000.0,i,,M,C,C,C,C,ES0000398,2023,135,201,36.0
10734,B,A243,Calandrella brachydactyla,,,r,,,,P,DD,C,B,B,B,ES0000253,2023,135,62,
10750,B,A246,Lullula arborea,,,p,,,i,P,DD,C,B,C,B,ES0000309,2023,135,201,36.0
10738,B,A230,Merops apiaster,,,r,,,,R,DD,C,B,C,C,ES0000216,2023,135,62,
10786,B,A125,Fulica atra,,,c,158.0,158.0,i,,G,C,C,C,C,ES0000398,2023,135,202,36.0
10894,B,A264,Cinclus cinclus,,,p,,,,P,DD,C,B,C,C,ES0000015,2023,135,201,
10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000193,2023,135,201,
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000361,2023,135,62,
10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000458,2023,135,62,
10937,B,A242,Melanocorypha calandra,,,p,,,,P,,D,,,,ES0000485,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,,P,,D,,,,ES0000465,2023,135,201,
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000203,2023,135,62,
10786,B,A125,Fulica atra,,,w,,100.0,i,C,G,C,B,C,C,ES4140036,2023,135,63,36.0
10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,,G,C,B,C,B,ES0000151,2023,135,201,34.0
10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,,G,C,B,C,B,ES0000483,2023,135,201,34.0
10896,B,A028,Ardea cinerea,,,w,4.0,25.0,i,,G,C,B,C,B,ES0000265,2023,135,63,36.0
10896,B,A028,Ardea cinerea,,,r,51.0,100.0,p,,G,C,C,C,C,ES0000014,2023,135,62,34.0
10801,B,A132,Recurvirostra avosetta,,,c,,,,C,DD,B,B,C,A,ES0000004,2023,135,202,
10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000188,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,,R,DD,D,,,,ES0000272,2023,135,201,
10930,B,A399,Elanus caeruleus,,,p,1.0,5.0,p,,G,C,C,C,C,ES0000408,2023,135,201,34.0
10763,B,A160,Numenius arquata,,,w,100.0,100.0,i,,G,B,B,C,B,ES0000373,2023,135,63,36.0
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,1001.0,10000.0,i,,M,C,C,C,C,ES0000434,2023,135,62,36.0
10678,B,A149,Calidris alpina,,,c,,,,P,DD,C,B,C,B,ES0000289,2023,135,202,
10734,B,A243,Calandrella brachydactyla,,,r,,,,R,DD,C,B,B,B,ES0000390,2023,135,62,
10786,B,A125,Fulica atra,,,r,3.0,3.0,p,,M,C,,C,,ES0000478,2023,135,62,34.0
10917,B,A215,Bubo bubo,,,p,1.0,5.0,p,,M,C,C,C,C,ES0000329,2023,135,201,34.0
10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,R,G,C,B,C,C,ES0000363,2023,135,201,34.0
10917,B,A215,Bubo bubo,,,p,4.0,4.0,p,,M,C,B,C,B,ES0000297,2023,135,201,34.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,w,51.0,100.0,i,,M,C,C,C,C,ES0000408,2023,135,63,36.0
10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,R,G,C,B,C,C,ES0000249,2023,135,201,34.0
10786,B,A125,Fulica atra,,,p,,,,R,DD,C,B,C,C,ES0000188,2023,135,201,
10662,B,A205,Pterocles alchata,,,c,,,,P,DD,D,,,,ES0000138,2023,135,202,
10750,B,A246,Lullula arborea,,,p,,,,C,DD,C,B,C,C,ES0000366,2023,135,201,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,15.0,15.0,p,C,G,C,B,C,C,ES0000190,2023,135,62,34.0
10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000247,2023,135,201,
10786,B,A125,Fulica atra,,,w,5.0,349.0,i,,G,C,C,C,C,ES0000329,2023,135,63,36.0
10937,B,A242,Melanocorypha calandra,,,p,,,,P,DD,D,,,,ES0000172,2023,135,201,
10766,B,A298,Acrocephalus arundinaceus,,,r,,,,P,DD,C,B,C,B,ES0000195,2023,135,62,
10741,B,A140,Pluvialis apricaria,,,w,158.0,359.0,i,,G,D,,,,ES0000485,2023,135,63,36.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,p,11.0,50.0,p,,G,C,C,C,C,ES0000393,2023,135,201,34.0
10738,B,A230,Merops apiaster,,,r,,,,R,DD,C,B,C,C,ES0000204,2023,135,62,
10664,B,A138,Charadrius alexandrinus,,,w,,8.0,i,P,G,D,C,C,C,ES0000272,2023,135,63,36.0
10896,B,A028,Ardea cinerea,,,c,16.0,16.0,i,,G,C,C,C,C,ES0000324,2023,135,202,36.0
10887,B,A123,Gallinula chloropus,,,w,2.0,13.0,i,P,G,C,C,C,C,ES0000274,2023,135,63,36.0
10887,B,A123,Gallinula chloropus,,,p,81.0,391.0,p,,M,C,,C,,ES0000478,2023,135,201,34.0
10794,B,A229,Alcedo atthis,,,c,,,,R,DD,C,B,C,C,ES0000144,2023,135,202,
10701,B,A043,Anser anser,,,w,28.0,28.0,i,,M,C,C,C,C,ES0000400,2023,135,63,36.0
10896,B,A028,Ardea cinerea,,,c,,,,R,DD,C,B,C,C,ES0000358,2023,135,202,
10822,B,A076,Gypaetus barbatus,,,r,1.0,2.0,p,P,G,C,B,C,B,ES0000283,2023,135,62,34.0
10664,B,A138,Charadrius alexandrinus,,,p,,,,P,DD,C,A,C,A,ES0000200,2023,135,201,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,p,,,,C,DD,D,,,,ES0000355,2023,135,201,
10786,B,A125,Fulica atra,,,r,,3.0,p,P,G,C,B,C,B,ES0000273,2023,135,62,34.0
10887,B,A123,Gallinula chloropus,,,w,1.0,5.0,i,,M,C,C,C,C,ES0000333,2023,135,63,36.0
10786,B,A125,Fulica atra,,,r,2.0,2.0,i,,G,C,C,C,C,ES0000421,2023,135,62,36.0
10888,B,A091,Aquila chrysaetos,,,p,2.0,2.0,p,,G,C,B,B,A,ES0000055,2023,135,201,34.0
10741,B,A140,Pluvialis apricaria,,,w,,,,P,DD,C,B,C,C,ES0000196,2023,135,63,
10896,B,A028,Ardea cinerea,,,w,1.0,4.0,i,,G,C,B,C,B,ES0000303,2023,135,63,36.0
10887,B,A123,Gallinula chloropus,,,p,,,,R,DD,C,B,C,C,ES4110086,2023,135,201,
10786,B,A125,Fulica atra,,,w,29.0,29.0,i,,G,C,B,C,C,ES0000417,2023,135,63,36.0
10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,C,C,C,A,ES0000363,2023,135,201,
10888,B,A091,Aquila chrysaetos,,,c,,,,V,DD,D,,,,ES0000360,2023,135,202,
10801,B,A132,Recurvirostra avosetta,,,c,,,,V,DD,D,,,,ES0000142,2023,135,202,
10763,B,A160,Numenius arquata,,,w,4.0,16.0,i,,G,C,C,C,C,ES0000400,2023,135,63,36.0
10944,B,A255,Anthus campestris,,,r,120.0,180.0,p,,M,C,B,C,B,ES0000183,2023,135,62,34.0
10733,B,A335,Certhia brachydactyla,,,p,,,,P,DD,C,B,C,C,ES0000174,2023,135,201,
10734,B,A243,Calandrella brachydactyla,,,r,,,,C,DD,C,C,C,B,ES0000357,2023,135,62,
10738,B,A230,Merops apiaster,,,r,,,,R,DD,C,B,C,C,ES0000193,2023,135,62,
10766,B,A298,Acrocephalus arundinaceus,,,r,,,,C,DD,C,A,C,A,ES0000289,2023,135,62,
10739,B,A072,Pernis apivorus,,,r,,,,P,DD,C,A,C,A,ES0000244,2023,135,62,
10733,B,A335,Certhia brachydactyla,,,p,,,,P,DD,C,B,C,B,ES0000307,2023,135,201,
10896,B,A028,Ardea cinerea,,,w,1.0,8.0,i,,G,D,,,,ES0000056,2023,135,63,36.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,c,,,,C,DD,D,,,,ES0000272,2023,135,202,
10801,B,A132,Recurvirostra avosetta,,,w,70.0,89.0,i,,G,C,C,C,C,ES0000400,2023,135,63,36.0
10887,B,A123,Gallinula chloropus,,,p,,,,R,DD,C,B,C,C,ES0000188,2023,135,201,
10750,B,A246,Lullula arborea,,,p,,,i,P,DD,C,B,C,B,ES0000303,2023,135,201,36.0
10763,B,A160,Numenius arquata,,,c,1.0,5.0,i,,G,C,C,C,C,ES0000398,2023,135,202,36.0
10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,C,C,C,A,ES0000208,2023,135,201,
10894,B,A264,Cinclus cinclus,,,p,,,,R,DD,C,B,C,C,ES0000186,2023,135,201,
10794,B,A229,Alcedo atthis,,,r,,,,V,DD,D,,,,ES6180017,2023,135,62,
10745,B,A118,Rallus aquaticus,,,p,,,,R,DD,C,B,C,C,ES0000208,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,,P,DD,C,B,C,C,ES0000280,2023,135,201,
10922,B,A087,Buteo buteo,,,p,,,,C,DD,C,B,C,C,ES4170013,2023,135,201,
10750,B,A246,Lullula arborea,,,p,,,i,P,DD,C,B,C,B,ES0000286,2023,135,201,36.0
10664,B,A138,Charadrius alexandrinus,,,r,5.0,60.0,p,,M,C,B,A,B,ES0000017,2023,135,62,34.0
10739,B,A072,Pernis apivorus,,,c,,,i,C,DD,C,A,C,A,ES0000285,2023,135,202,36.0
10896,B,A028,Ardea cinerea,,,w,16.0,16.0,i,,G,C,C,C,C,ES0000415,2023,135,63,36.0
10887,B,A123,Gallinula chloropus,,,p,,,,R,DD,C,B,C,C,ES4120012,2023,135,201,
10734,B,A243,Calandrella brachydactyla,,,r,,,,R,DD,C,C,C,C,ES4120036,2023,135,62,
10738,B,A230,Merops apiaster,,,r,,,,P,DD,C,B,C,B,ES0000195,2023,135,62,
10922,B,A087,Buteo buteo,,,p,,,,P,DD,C,C,C,C,ES0000289,2023,135,201,
10750,B,A246,Lullula arborea,,,p,,,,R,DD,C,C,C,C,ES0000139,2023,135,201,
10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,D,,,,ES0000335,2023,135,201,
10745,B,A118,Rallus aquaticus,,,w,9.0,9.0,i,,G,C,,C,,ES0000480,2023,135,63,36.0
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,10000.0,15000.0,i,,G,C,C,C,C,ES0000014,2023,135,62,36.0
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,c,,,,P,DD,D,,,,ES0000200,2023,135,202,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,w,6.0,50.0,i,,G,C,C,C,C,ES0000328,2023,135,63,36.0
10944,B,A255,Anthus campestris,,,r,,,,C,DD,C,C,C,C,ES0000365,2023,135,62,
10917,B,A215,Bubo bubo,,,p,,,,P,DD,D,,,,ES0000279,2023,135,201,
10750,B,A246,Lullula arborea,,,p,,,,R,DD,C,B,C,C,ES0000191,2023,135,201,
10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000453,2023,135,62,
10822,B,A076,Gypaetus barbatus,,,r,2.0,3.0,p,P,G,C,B,C,B,ES0000278,2023,135,62,34.0
10739,B,A072,Pernis apivorus,,,c,,,i,P,DD,C,B,C,C,ES0000293,2023,135,202,36.0
10887,B,A123,Gallinula chloropus,,,r,101.0,250.0,p,R,G,C,A,C,A,ES0000143,2023,135,62,34.0
10734,B,A243,Calandrella brachydactyla,,,r,,,,P,,D,,,,ES0000456,2023,135,62,
10917,B,A215,Bubo bubo,,,p,,,,C,DD,C,B,C,C,ES4170044,2023,135,201,
10917,B,A215,Bubo bubo,,,p,6.0,7.0,p,C,M,C,B,C,C,ES4160008,2023,135,201,34.0
10745,B,A118,Rallus aquaticus,,,p,,,,R,DD,C,B,C,C,ES0000202,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,,C,DD,C,B,C,C,ES0000206,2023,135,201,
10917,B,A215,Bubo bubo,,,p,,,i,P,DD,C,B,C,B,ES0000292,2023,135,201,36.0
10917,B,A215,Bubo bubo,,,p,,,i,P,DD,C,B,C,B,ES0000283,2023,135,201,36.0
10750,B,A246,Lullula arborea,,,p,,,i,P,DD,C,B,B,C,ES0000553,2023,135,201,36.0
10896,B,A028,Ardea cinerea,,,r,17.0,17.0,p,,G,C,C,C,C,ES0000415,2023,135,62,34.0
10896,B,A028,Ardea cinerea,,,c,6.0,10.0,i,,M,C,C,C,C,ES0000425,2023,135,202,36.0
10759,B,A684,Phalacrocorax aristotelis aristotelis,,,p,88.0,88.0,p,,G,B,B,C,B,ES0000372,2023,135,201,34.0
10896,B,A028,Ardea cinerea,,,p,142.0,142.0,p,C,G,B,A,C,C,ES0000184,2023,135,201,34.0
10750,B,A246,Lullula arborea,,,p,409.0,479.0,p,,M,C,,C,,ES0000478,2023,135,201,34.0
10786,B,A125,Fulica atra,,,w,,401.0,i,P,G,C,C,C,C,ES0000275,2023,135,63,36.0
10766,B,A298,Acrocephalus arundinaceus,,,r,,,,C,DD,C,B,C,C,ES0000201,2023,135,62,
10766,B,A298,Acrocephalus arundinaceus,,,r,9.0,20.0,p,,M,C,,C,,ES0000321,2023,135,62,34.0
10649,B,A144,Calidris alba,,,c,,,,C,DD,,,,,ES0000318,2023,135,202,
10944,B,A255,Anthus campestris,,,r,,,,C,DD,C,C,C,C,ES4140036,2023,135,62,
10937,B,A242,Melanocorypha calandra,,,p,,,,C,DD,C,C,C,B,ES0000194,2023,135,201,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,,,,C,DD,C,B,C,C,ES0000366,2023,135,62,
10739,B,A072,Pernis apivorus,,,c,,,,P,DD,D,,,,ES0000382,2023,135,202,
10738,B,A230,Merops apiaster,,,r,,,,C,DD,C,B,C,C,ES0000218,2023,135,62,
10678,B,A149,Calidris alpina,,,c,,,,R,,D,,,,ES0000451,2023,135,202,
10930,B,A399,Elanus caeruleus,,,p,2.0,10.0,i,,M,C,C,C,C,ES0000325,2023,135,201,36.0
10786,B,A125,Fulica atra,,,p,,,,R,DD,C,B,C,C,ES4190009,2023,135,201,
10701,B,A043,Anser anser,,,w,200.0,400.0,i,,G,C,C,C,C,ES0000434,2023,135,63,36.0
10734,B,A243,Calandrella brachydactyla,,,r,9000.0,11000.0,i,,G,C,B,C,B,ES0000325,2023,135,62,36.0
10739,B,A072,Pernis apivorus,,,r,,,,P,DD,C,A,B,A,ES0000278,2023,135,62,
10738,B,A230,Merops apiaster,,,r,25.0,32.0,p,,M,C,,C,,ES0000321,2023,135,62,34.0
10786,B,A125,Fulica atra,,,w,1.0,5.0,i,,G,C,C,C,C,ES0000356,2023,135,63,36.0
10896,B,A028,Ardea cinerea,,,w,1.0,10.0,i,,G,C,C,C,C,ES0000396,2023,135,63,36.0
10734,B,A243,Calandrella brachydactyla,,,r,,,,C,DD,C,C,C,B,ES0000208,2023,135,62,
10741,B,A140,Pluvialis apricaria,,,w,,,,R,DD,C,B,C,C,ES0000359,2023,135,63,
10741,B,A140,Pluvialis apricaria,,,c,,,,R,DD,C,B,C,C,ES0000207,2023,135,202,
10738,B,A230,Merops apiaster,,,r,,,,P,DD,C,A,C,A,ES0000537,2023,135,62,
10922,B,A087,Buteo buteo,,,p,,,,R,DD,C,B,C,C,ES4140036,2023,135,201,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,11.0,50.0,p,,G,C,C,C,C,ES0000416,2023,135,62,34.0
10738,B,A230,Merops apiaster,,,r,,,,C,DD,C,B,C,C,ES0000184,2023,135,62,
10734,B,A243,Calandrella brachydactyla,,,r,,,,P,,D,,,,ES0000450,2023,135,62,
10944,B,A255,Anthus campestris,,,r,,,,C,DD,C,C,C,C,ES0000209,2023,135,62,
10944,B,A255,Anthus campestris,,,r,,,i,P,DD,C,B,C,B,ES0000295,2023,135,62,36.0
10739,B,A072,Pernis apivorus,,,r,,,,R,DD,C,C,C,C,ES4130024,2023,135,62,
10794,B,A229,Alcedo atthis,,,p,,,,P,DD,C,A,C,B,ES0000057,2023,135,201,
10741,B,A140,Pluvialis apricaria,,,c,,,,R,DD,C,B,C,C,ES0000215,2023,135,202,
10741,B,A140,Pluvialis apricaria,,,c,,,,R,DD,C,B,C,C,ES0000209,2023,135,202,
10944,B,A255,Anthus campestris,,,r,,,,C,DD,C,C,C,C,ES0000010,2023,135,62,
10930,B,A399,Elanus caeruleus,,,p,,,,R,DD,C,B,B,C,ES0000365,2023,135,201,
10739,B,A072,Pernis apivorus,,,r,,,,C,DD,C,B,C,B,ES0000010,2023,135,62,
10701,B,A043,Anser anser,,,w,,3.0,i,,G,D,,,,ES0000142,2023,135,63,36.0
10649,B,A144,Calidris alba,,,c,,,,V,DD,C,B,C,C,ES0000359,2023,135,202,
10944,B,A255,Anthus campestris,,,r,,,,P,DD,C,,C,,ES0000480,2023,135,62,
10741,B,A140,Pluvialis apricaria,,,c,,,,R,,D,,,,ES0000467,2023,135,202,
10786,B,A125,Fulica atra,,,p,100.0,200.0,p,,M,C,C,C,C,ES0000289,2023,135,201,34.0
10822,B,A076,Gypaetus barbatus,,,c,,,,V,DD,D,,,,ES4170013,2023,135,202,
10794,B,A229,Alcedo atthis,,,p,1.0,5.0,p,,M,C,C,C,C,ES0000333,2023,135,201,34.0
10944,B,A255,Anthus campestris,,,r,,,,C,DD,C,C,C,C,ES0000363,2023,135,62,
10896,B,A028,Ardea cinerea,,,c,,,,R,DD,C,B,C,C,ES0000217,2023,135,202,
10888,B,A091,Aquila chrysaetos,,,p,1.0,1.0,p,,G,D,,,,ES0000469,2023,135,201,34.0
10896,B,A028,Ardea cinerea,,,w,13.0,13.0,i,,G,C,,C,,ES0000480,2023,135,63,36.0
10739,B,A072,Pernis apivorus,,,c,,,,C,DD,C,B,C,C,ES0000144,2023,135,202,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,60.0,60.0,p,,M,C,C,C,C,ES0000324,2023,135,62,34.0
10739,B,A072,Pernis apivorus,,,r,,,,R,DD,C,B,C,B,ES0000315,2023,135,62,
10944,B,A255,Anthus campestris,,,r,,,,P,,D,,,,ES0000474,2023,135,62,
10786,B,A125,Fulica atra,,,r,11.0,50.0,i,,M,C,C,C,C,ES0000332,2023,135,62,36.0
10734,B,A243,Calandrella brachydactyla,,,r,,,,P,,D,,,,ES0000453,2023,135,62,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,w,15.0,25.0,i,,G,C,C,C,C,ES0000393,2023,135,63,36.0
10801,B,A132,Recurvirostra avosetta,,,c,1.0,1.0,i,,G,C,C,C,C,ES0000324,2023,135,202,36.0
10678,B,A149,Calidris alpina,,,w,12.0,12.0,i,,G,C,C,C,C,ES0000417,2023,135,63,36.0
10887,B,A123,Gallinula chloropus,,,p,,,,R,DD,C,B,C,C,ES4150005,2023,135,201,
10794,B,A229,Alcedo atthis,,,c,,,,V,DD,D,,,,ES4170044,2023,135,202,
10763,B,A160,Numenius arquata,,,c,,,,P,DD,C,A,C,A,ES0000294,2023,135,202,
10794,B,A229,Alcedo atthis,,,p,,,,R,DD,D,,,,ES0000332,2023,135,201,
10734,B,A243,Calandrella brachydactyla,,1.0,r,,,,,,,,,,ES0000478,2023,135,62,
10888,B,A091,Aquila chrysaetos,,,r,1.0,1.0,p,,G,C,B,C,B,ES0000371,2023,135,62,34.0
10801,B,A132,Recurvirostra avosetta,,,r,131.0,263.0,p,C,G,B,B,C,A,ES0000004,2023,135,62,34.0
10794,B,A229,Alcedo atthis,,,p,,,,R,DD,C,C,C,B,ES0000218,2023,135,201,
10738,B,A230,Merops apiaster,,,r,11.0,50.0,p,,M,C,C,C,C,ES0000324,2023,135,62,34.0
10734,B,A243,Calandrella brachydactyla,,,r,,,i,P,DD,C,C,C,C,ES0000294,2023,135,62,36.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,,,,C,DD,C,B,C,C,ES0000215,2023,135,62,
10741,B,A140,Pluvialis apricaria,,,c,,,,R,,D,,,,ES0000484,2023,135,202,
10786,B,A125,Fulica atra,,,p,154.0,439.0,p,C,G,C,B,C,C,ES4140036,2023,135,201,34.0
10794,B,A229,Alcedo atthis,,,p,,,,P,DD,C,B,C,B,ES0000282,2023,135,201,
10944,B,A255,Anthus campestris,,,r,1.0,3.0,p,,G,D,,,,ES0000038,2023,135,62,34.0
10937,B,A242,Melanocorypha calandra,,,p,51.0,100.0,i,,M,C,C,C,C,ES0000426,2023,135,201,36.0
10701,B,A043,Anser anser,,,w,41.0,86.0,i,,G,C,B,C,C,ES0000071,2023,135,63,36.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,w,1.0,20.0,i,,G,C,C,C,C,ES0000334,2023,135,63,36.0
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,r,,,,R,DD,D,,,,ES0000275,2023,135,62,
10891,B,A031,Ciconia ciconia (W Europe & North-west Africa/Sub-Saharan Africa ; Central & Eastern Europe/Sub-Saharan Africa),,,c,11.0,50.0,i,,G,C,C,C,C,ES0000356,2023,135,202,36.0
10766,B,A298,Acrocephalus arundinaceus,,,r,51.0,100.0,p,,M,C,B,C,B,ES0000071,2023,135,62,34.0
10750,B,A246,Lullula arborea,,,p,251.0,500.0,i,,M,C,C,C,C,ES0000425,2023,135,201,36.0
10794,B,A229,Alcedo atthis,,,p,5.0,5.0,i,,G,C,C,C,C,ES0000330,2023,135,201,36.0
10759,B,A684,Phalacrocorax aristotelis aristotelis,,,r,14.0,14.0,p,,G,C,C,C,C,ES0000492,2023,135,62,34.0
10944,B,A255,Anthus campestris,,,r,,,,R,DD,C,C,C,C,ES0000202,2023,135,62,
10956,B,A304,Sylvia cantillans ([excluding subalpina]),,,r,,,,C,DD,C,B,C,C,ES0000007,2023,135,62,
10741,B,A140,Pluvialis apricaria,,,w,79.0,79.0,i,,G,C,B,C,B,ES0000450,2023,135,63,36.0
10786,B,A125,Fulica atra,,,w,650.0,650.0,i,C,G,C,B,C,C,ES0000252,2023,135,63,36.0
10734,B,A243,Calandrella brachydactyla,,,c,1.0,3.0,p,R,DD,C,B,C,C,ES0000038,2023,135,202,34.0
10944,B,A255,Anthus campestris,,,r,,,,R,DD,D,,,,ES0000014,2023,135,62,
10822,B,A076,Gypaetus barbatus,,,r,1.0,1.0,p,C,G,C,B,C,B,ES0000277,2023,135,62,34.0
10741,B,A140,Pluvialis apricaria,,,w,,,,P,DD,C,B,C,B,ES0000268,2023,135,63,
10887,B,A123,Gallinula chloropus,,,r,3.0,50.0,p,P,G,C,C,C,C,ES0000272,2023,135,62,34.0
10887,B,A123,Gallinula chloropus,,,p,,,,R,DD,C,B,C,C,ES0000207,2023,135,201,
10930,B,A399,Elanus caeruleus,,,c,,,,V,DD,D,,,,ES0000189,2023,135,202,
10922,B,A087,Buteo buteo,,,p,,,,P,DD,C,C,C,C,ES0000306,2023,135,201,
10917,B,A215,Bubo bubo,,,p,5.0,10.0,p,,G,C,C,C,C,ES0000407,2023,135,201,34.0
