,idtaxon,idestadoconservacion,estadoconservacion,anio,idcategoria,categoriaconservacion,idcriterio,criteriomedidaconservacion,descripcion,criterios,idautoridad,autoridad,idaplicaa,aplicaa,iddataset,fechaalta,fechabaja,idvigente,vigencia,observaciones,idnombre
0,1,,,2000,11,EN (En peligro),,,,B1+2bce,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,1.0
1,1,,,2004,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,1.0
2,1,,,2008,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,124,,,1.0,Vigente,,1.0
3,1,,,2010,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,1.0
4,1,,,2011,11,EN (En peligro),,,,B2ab(v),1,UICN,1,Mundial,119,,,1.0,Vigente,,1.0
5,1,,,2012,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,2,,,1.0,Vigente,,1.0
6,1,,,2017,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,127,2024-01-11,,1.0,Vigente,,1.0
7,1,,,2018,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,72,,,1.0,Vigente,,1.0
8,2,,,2000,11,EN (En peligro),,,,C2a,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,2.0
9,2,,,2004,11,EN (En peligro),,,,"B2ab (iii,iv)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,2.0
10,2,,,2006,11,EN (En peligro),,,,"B2ab(iii,iv)",1,UICN,1,Mundial,119,,,1.0,Vigente,,2.0
11,2,,,2008,11,EN (En peligro),,,,"B1ab(iii,iv)+2ab(iii,iv)",1,UICN,2,España,124,,,1.0,Vigente,,2.0
12,2,,,2010,11,EN (En peligro),,,,"B1ab(iii,iv)+2ab(iii,iv)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,2.0
13,3,,,2000,11,EN (En peligro),,,,B1+2e,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,3.0
14,3,,,2004,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,3.0
15,3,,,2008,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,124,,,1.0,Vigente,,
16,3,,,2010,13,CR (En peligro crítico),,,,C2a(ii),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,3.0
17,4,,,2000,11,EN (En peligro),,,,B1+2c,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,4.0
18,4,,,2004,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,4.0
19,4,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,
20,4,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,4.0
21,6,,,2000,13,CR (En peligro crítico),,,,"B1+2c, D",1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,24277.0
22,6,,,2004,13,CR (En peligro crítico),,,,"B1ab(iii,iv",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,6.0
23,6,,,2008,13,CR (En peligro crítico),,,,"B1ab(iii,iv)",1,UICN,2,España,124,,,1.0,Vigente,,6.0
24,6,,,2010,13,CR (En peligro crítico),,,,"B1ab(iii,iv)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,6.0
25,6,,,2010,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,6.0
26,6,,,2011,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,6.0
27,6,,,2012,40,U2 (Desfavorable-malo),,,,,5,Art. 17 (Dir. Hábitats),26,Región Macaronésica,2,,,1.0,Vigente,,6.0
28,6,,,2018,39,U1 (Desfavorable-inadecuado),,,,"Informe del Art.17 de la Directiva Hábitats en España, referido a especies para el periodo 2013-2018",5,Art. 17 (Dir. Hábitats),26,Región Macaronésica,72,,,1.0,Vigente,,
29,7,,,2000,11,EN (En peligro),,,,B1+3d,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,838.0
30,7,,,2004,11,EN (En peligro),,,,B2b(iv)c(iv),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,838.0
31,7,,,2008,11,EN (En peligro),,,,B2b(iv)c(iv),1,UICN,2,España,124,,,1.0,Vigente,,
32,7,,,2010,11,EN (En peligro),,,,B2b(iv)c(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,7.0
33,8,,,2000,13,CR (En peligro crítico),,,,B1+3b,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,8.0
34,8,,,2004,13,CR (En peligro crítico),,,,B2ab(iii),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,8.0
35,8,,,2008,13,CR (En peligro crítico),,,,B2ab(iii),1,UICN,2,España,124,,,1.0,Vigente,,
36,8,,,2010,13,CR (En peligro crítico),,,,B2ab(iii),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,8.0
37,9,,,2000,11,EN (En peligro),,,,B1+3d,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,9.0
38,9,,,2004,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,9.0
39,9,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,
40,9,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,9.0
41,10,,,2000,13,CR (En peligro crítico),,,,B1+2d,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,10.0
42,10,,,2008,19,VU (Vulnerable),,,,D2,1,UICN,2,España,124,,,1.0,Vigente,,
43,10,,,2010,19,VU (Vulnerable),,,,D2,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,10.0
44,11,,,2000,13,CR (En peligro crítico),,,,C2a,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,11.0
45,11,,,2004,13,CR (En peligro crítico),,,,"B1ab(iii,iv,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,11.0
46,11,,,2008,13,CR (En peligro crítico),,,,"B1ab(iii,iv,v)",1,UICN,2,España,124,,,1.0,Vigente,,11.0
47,11,,,2010,13,CR (En peligro crítico),,,,"B1ab(iii,iv,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,11.0
48,11,,,2011,11,EN (En peligro),,,,"B2ab(iii,iv,v) ; C2a(i)",1,UICN,1,Mundial,119,,,1.0,Vigente,,11.0
49,11,,,2012,40,U2 (Desfavorable-malo),,,,,5,Art. 17 (Dir. Hábitats),26,Región Macaronésica,2,,,1.0,Vigente,,11.0
50,11,,,2018,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),26,Región Macaronésica,72,,,1.0,Vigente,,11.0
51,12,,,2000,11,EN (En peligro),,,,C2a,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,12.0
52,12,,,2004,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,12.0
53,12,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,12.0
54,12,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,12.0
55,12,,,2011,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,12.0
56,17,,,2014,19,VU (Vulnerable),,,,"A3cd; B2ab(i,ii,iii,iv,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,17.0
57,17,,,2017,19,VU (Vulnerable),,,,"A3cd; B2ab(i,ii,iii,iv,v)",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,17.0
58,32,,,2006,13,CR (En peligro crítico),,,,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,UICN,2,España,123,2024-01-10,2024-06-05,2.0,No vigente,,32.0
59,32,,,2008,13,CR (En peligro crítico),,,,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,UICN,2,España,124,,2024-06-05,2.0,No vigente,,
60,32,,,2010,13,CR (En peligro crítico),,,,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",1,UICN,2,España,126,2024-01-10,2024-06-05,2.0,No vigente,,32.0
61,42,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,2024-06-05,2.0,No vigente,,42.0
62,42,,,2004,13,CR (En peligro crítico),,,,B1ab(iii)+2ab(iii),1,UICN,2,España,122,2024-01-10,2024-06-05,2.0,No vigente,,42.0
63,42,,,2008,13,CR (En peligro crítico),,,,B1ab(iii)+2ab(iii),1,UICN,2,España,124,,2024-06-05,2.0,No vigente,,26408.0
64,42,,,2010,13,CR (En peligro crítico),,,,B1ab(iii)+2ab(iii),1,UICN,2,España,126,2024-01-10,2024-06-05,2.0,No vigente,,42.0
65,42,,,2013,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,2024-06-05,2.0,No vigente,,
66,45,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,45.0
67,45,,,2008,19,VU (Vulnerable),,,,D2,1,UICN,2,España,124,,,1.0,Vigente,,
68,45,,,2010,19,VU (Vulnerable),,,,D2,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,45.0
69,47,,,2000,19,VU (Vulnerable),,,,C2a,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,47.0
70,47,,,2008,18,LC (Preocupación menor),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
71,47,,,2010,18,LC (Preocupación menor),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,47.0
72,49,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,49.0
73,49,,,2008,15,NT (Casi amenazado),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
74,49,,,2010,15,NT (Casi amenazado),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,49.0
75,51,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,51.0
76,51,,,2008,19,VU (Vulnerable),,,,D2,1,UICN,2,España,124,,,1.0,Vigente,,
77,51,,,2010,19,VU (Vulnerable),,,,D2,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,51.0
78,52,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,52.0
79,52,,,2008,19,VU (Vulnerable),,,,D2,1,UICN,2,España,124,,,1.0,Vigente,,
80,52,,,2010,19,VU (Vulnerable),,,,D2,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,52.0
81,55,,,2000,19,VU (Vulnerable),,,,D1+2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,55.0
82,55,,,2004,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,55.0
83,55,,,2008,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,124,,,1.0,Vigente,,
84,55,,,2010,11,EN (En peligro),,,,B2ab(v),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,55.0
85,56,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,2024-06-05,2.0,No vigente,,56.0
86,56,,,2008,19,VU (Vulnerable),,,,D2,1,UICN,2,España,124,,2024-06-05,2.0,No vigente,,
87,56,,,2010,19,VU (Vulnerable),,,,D2,1,UICN,2,España,126,2024-01-10,2024-06-05,2.0,No vigente,,32088.0
88,57,,,2011,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,57.0
89,57,,,2012,38,FV (Favorable),,,,,5,Art. 17 (Dir. Hábitats),24,Región Alpina,2,,,1.0,Vigente,,57.0
90,57,,,2017,15,NT (Casi amenazado),,,,,1,UICN,2,España,127,2024-01-11,,1.0,Vigente,,57.0
91,57,,,2018,38,FV (Favorable),,,,,5,Art. 17 (Dir. Hábitats),24,Región Alpina,72,,,1.0,Vigente,,57.0
92,60,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,60.0
93,60,,,2008,19,VU (Vulnerable),,,,B2ab(iii),1,UICN,2,España,124,,,1.0,Vigente,,
94,60,,,2010,19,VU (Vulnerable),,,,B2ab(iii),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,60.0
95,62,,,2010,11,EN (En peligro),,,,"B2ab(ii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,62.0
96,62,,,2011,11,EN (En peligro),,,,"B2ab(ii,v)",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,62.0
97,72,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,93911.0
98,72,,,2008,17,DD (Datos insuficientes),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
99,72,,,2010,17,DD (Datos insuficientes),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,72.0
100,73,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,93912.0
101,73,,,2008,15,NT (Casi amenazado),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
102,73,,,2010,15,NT (Casi amenazado),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,73.0
103,76,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,76.0
104,76,,,2008,19,VU (Vulnerable),,,,B2ac(iv),1,UICN,2,España,124,,,1.0,Vigente,,
105,76,,,2010,19,VU (Vulnerable),,,,B2ac(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,76.0
106,84,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,84.0
107,84,,,2008,17,DD (Datos insuficientes),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
108,84,,,2010,17,DD (Datos insuficientes),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,84.0
109,86,,,2013,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2024-01-18,,,,,
110,89,,,2011,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
111,89,,,2017,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
112,90,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
113,90,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
114,94,,,2000,11,EN (En peligro),,,,B1+2c,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,94.0
115,94,,,2008,19,VU (Vulnerable),,,,B2ac(iv),1,UICN,2,España,124,,,1.0,Vigente,,94.0
116,94,,,2010,19,VU (Vulnerable),,,,B2ac(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,94.0
117,94,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
118,94,,,2011,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
119,98,,,2008,19,VU (Vulnerable),,,,Criterios: B1ab(iii)+2ab(iii) ; D2 - Fuente: Lista Roja 2008 de la Flora Vascular Española,1,UICN,2,España,124,,,1.0,Vigente,,98.0
120,98,,,2018,11,EN (En peligro),,,,B1ab(iii)+2ab(iii),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,98.0
121,100,,,2011,19,VU (Vulnerable),,,,B2ab(iii),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
122,117,,,2004,11,EN (En peligro),,,,"B2ab(i,ii,iii,iv,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,117.0
123,117,,,2008,11,EN (En peligro),,,,"B2ab(i,ii,iii,iv,v)",1,UICN,2,España,124,,,1.0,Vigente,,
124,117,,,2010,11,EN (En peligro),,,,"B2ab(i,ii,iii,iv,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,117.0
125,118,,,2000,11,EN (En peligro),,,,B1+2d,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,118.0
126,121,,,2000,11,EN (En peligro),,,,"B1+2c, C1+2a, D",1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,121.0
127,121,,,2004,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v) ; C2a(ii)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,121.0
128,121,,,2008,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v) ; C2a(ii)",1,UICN,2,España,124,,,1.0,Vigente,,
129,121,,,2010,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v) ; C2a(ii)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,121.0
130,122,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,2024-06-05,2.0,No vigente,,122.0
131,122,,,2004,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,122,2024-01-10,2024-06-05,2.0,No vigente,,122.0
132,122,,,2008,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,124,,2024-06-05,2.0,No vigente,,
133,122,,,2010,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,126,2024-01-10,2024-06-05,2.0,No vigente,,122.0
134,124,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)c(iv)",1,UICN,2,España,124,2024-01-11,,1.0,Vigente,,124.0
135,124,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)c(iv)",1,UICN,2,España,125,,,1.0,Vigente,,124.0
136,124,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)c(iv)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,124.0
137,125,,,2000,13,CR (En peligro crítico),,,,B1+2c+3b,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,125.0
138,125,,,2004,13,CR (En peligro crítico),,,,B2ab(iii)c(iv),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,125.0
139,125,,,2008,13,CR (En peligro crítico),,,,B2ab(iii)c(iv),1,UICN,2,España,124,,,1.0,Vigente,,
140,125,,,2010,13,CR (En peligro crítico),,,,B2ab(iii)c(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,125.0
141,127,,,2013,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
142,127,,,2014,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
143,141,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,141.0
144,141,,,2004,13,CR (En peligro crítico),,,,B1ab(iii)c(iv)+2ab(iii)c(iv),1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,141.0
145,141,,,2008,13,CR (En peligro crítico),,,,B1ab(iii)c(iv)+2ab(iii)c(iv),1,UICN,2,España,124,,,1.0,Vigente,,
146,141,,,2010,13,CR (En peligro crítico),,,,B1ab(iii)c(iv)+2ab(iii)c(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,141.0
147,145,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,145.0
148,145,,,2008,17,DD (Datos insuficientes),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
149,145,,,2010,17,DD (Datos insuficientes),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,145.0
150,149,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,149.0
151,149,,,2008,15,NT (Casi amenazado),,,,,1,UICN,2,España,124,,,1.0,Vigente,,149.0
152,149,,,2010,15,NT (Casi amenazado),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,32089.0
153,149,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
154,149,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
155,153,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,153.0
156,153,,,2008,15,NT (Casi amenazado),,,,,1,UICN,2,España,124,,,1.0,Vigente,,153.0
157,153,,,2010,15,NT (Casi amenazado),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,153.0
158,153,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
159,156,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
160,156,,,2011,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
161,157,,,2000,19,VU (Vulnerable),,,,D2,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,157.0
162,157,,,2008,11,EN (En peligro),,,,D,1,UICN,2,España,124,,,1.0,Vigente,,
163,157,,,2010,11,EN (En peligro),,,,D,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,157.0
164,159,,,2013,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
165,165,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,2024-06-05,2.0,No vigente,,165.0
166,165,,,2008,13,CR (En peligro crítico),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,124,2024-01-11,2024-06-05,2.0,No vigente,,165.0
167,165,,,2008,13,CR (En peligro crítico),,,,"B1ab(iii,v)+2ab(iii,v)
",1,UICN,2,España,125,,2024-06-05,2.0,No vigente,,165.0
168,165,,,2010,13,CR (En peligro crítico),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,126,2024-01-10,2024-06-05,2.0,No vigente,,165.0
169,168,,,2011,17,DD (Datos insuficientes),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,168.0
170,170,,,2000,13,CR (En peligro crítico),,,,D,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,170.0
171,170,,,2004,13,CR (En peligro crítico),,,,"B2ac(iii,iv) ; D",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,170.0
172,170,,,2008,13,CR (En peligro crítico),,,,"B1ac(iii,iv)+2ac(iii,iv) ; D",1,UICN,2,España,124,,,1.0,Vigente,,
173,170,,,2010,13,CR (En peligro crítico),,,,"B1ac(iii,iv)+2ac(iii,iv) ; D",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,170.0
174,171,,,2000,11,EN (En peligro),,,,B1+2c,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,171.0
175,171,,,2004,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,171.0
176,171,,,2008,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,
177,171,,,2010,11,EN (En peligro),,,,"B2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,171.0
178,172,,,2008,13,CR (En peligro crítico),,,,D,1,UICN,2,España,124,2024-01-11,,1.0,Vigente,,172.0
179,172,,,2008,13,CR (En peligro crítico),,,,D,1,UICN,2,España,125,,,1.0,Vigente,,172.0
180,172,,,2010,13,CR (En peligro crítico),,,,D,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,172.0
181,186,,,2000,13,CR (En peligro crítico),,,,B1+3b,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,186.0
182,186,,,2004,13,CR (En peligro crítico),,,,"B1b(i,ii,iii,iv,v)c(ii,iv)+2b(i,ii,iii,iv,v) c(ii,iv)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,186.0
183,186,,,2008,13,CR (En peligro crítico),,,,"B1b(i,ii,iii,iv,v)c(ii,iv)+2b(i,ii,iii,iv,v)c(ii,iv)",1,UICN,2,España,124,,,1.0,Vigente,,
184,186,,,2010,13,CR (En peligro crítico),,,,"B1b(i,ii,iii,iv,v)c(ii,iv)+2b(i,ii,iii,iv,v)c(ii,i v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,186.0
185,189,,,2000,19,VU (Vulnerable),,,,"C2a, D2",1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,189.0
186,189,,,2008,17,DD (Datos insuficientes),,,,,1,UICN,2,España,124,,,1.0,Vigente,,
187,189,,,2010,17,DD (Datos insuficientes),,,,,1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,189.0
188,190,,,2011,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,1,Mundial,119,2023-07-27,2024-06-05,2.0,No vigente,,
189,194,,,2008,19,VU (Vulnerable),,,,"B2ab(i,ii,iii,iv,v)",1,UICN,2,España,124,,,1.0,Vigente,,
190,194,,,2010,19,VU (Vulnerable),,,,"B2ab(i,ii,iii,iv,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,194.0
191,198,,,2008,11,EN (En peligro),,,,B1ac(iv)+2ac(iv),1,UICN,2,España,125,,,1.0,Vigente,,198.0
192,198,,,2008,11,EN (En peligro),,,,B1ac(iv)+2ac(iv),1,UICN,2,España,124,2024-01-11,,1.0,Vigente,,198.0
193,198,,,2010,11,EN (En peligro),,,,B1ac(iv)+2ac(iv),1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,198.0
194,198,,,2010,13,CR (En peligro crítico),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,
195,208,,,2000,11,EN (En peligro),,,,"B1+2c, C2a, D",1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,208.0
196,208,,,2004,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,122,2024-01-10,,1.0,Vigente,,208.0
197,208,,,2008,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,124,,,1.0,Vigente,,208.0
198,208,,,2010,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,208.0
199,208,,,2011,11,EN (En peligro),,,,"B1ab(iii,v)+2ab(iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,26711.0
200,208,,,2012,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,2,,,1.0,Vigente,,208.0
201,208,,,2018,39,U1 (Desfavorable-inadecuado),,,,,5,Art. 17 (Dir. Hábitats),25,Región Mediterránea,72,,,1.0,Vigente,,208.0
202,217,,,2000,17,DD (Datos insuficientes),,,,,1,UICN,2,España,121,2024-01-10,,1.0,Vigente,,217.0
203,217,,,2008,11,EN (En peligro),,,,"B2ac(ii,iii)",1,UICN,2,España,124,,,1.0,Vigente,,
204,217,,,2010,11,EN (En peligro),,,,"B2ac(ii,iii)",1,UICN,2,España,126,2024-01-10,,1.0,Vigente,,217.0
205,223,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
