,idtaxon,idestadoconservacion,estadoconservacion,anio,idcategoria,categoriaconservacion,idcriterio,criteriomedidaconservacion,descripcion,criterios,idautoridad,autoridad,idaplicaa,aplicaa,iddataset,fechaalta,fechabaja,idvigente,vigencia,observaciones,idnombre
17584,29325,,,2007,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17585,29326,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17586,29326,,,2019,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17587,29327,,,2007,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17588,29328,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17589,29328,,,2019,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17590,29329,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17591,29329,,,2019,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17592,29332,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17593,29332,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17594,29333,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17595,29334,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17596,29335,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17597,29336,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17598,29336,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17599,29337,,,2011,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17600,29338,,,2018,13,CR (En peligro crítico),,,,A3ce,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17601,29339,,,2011,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17602,29341,,,2014,11,EN (En peligro),,,,A4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17603,29341,,,2018,11,EN (En peligro),,,,A4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17604,29341,,,2020,11,EN (En peligro),,,,A4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17605,29343,,,2008,11,EN (En peligro),,,,A2c,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17606,29343,,,2020,11,EN (En peligro),,,,A3c,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17607,29343,,,2021,11,EN (En peligro),,,,A3c,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17608,29344,,,2008,11,EN (En peligro),,,,B1ab(iii),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17609,29344,,,2015,11,EN (En peligro),,,,A3cde,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17610,29344,,,2019,11,EN (En peligro),,,,A3cde,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17611,29344,,,2021,11,EN (En peligro),,,,A3cde,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17612,29345,,,2014,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17613,29345,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17614,29346,,,2022,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2024-01-18,,,,,
17615,29347,,,2014,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17616,29347,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17617,29347,,,2019,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
