CUADRICULA,ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,Provincia,CC_AA,ID,TIPOLOGIA,ETAPA,HUSO,ID_SECTOR,ID_CAMINO,COD_CAMINO,ID_ETAPA,LONG_3D_GE,NUM_CAMINO,NOM_TOTAL,XCENTROIDE,YCENTROIDE,geometry,source,Description,id,fecha_edi,recorrido,estado,firme,nombre_en,fecha_edit,CCAA_1,Provincia_1
29TPJ32,80,Camino Natural de la Ruta del Cantábrico,Alternativa Etapa 3: Foz - Burela,Camino Natural de la Ruta del Cantábrico Alternativa Etapa 3: Foz - Burela,"0,15989096155",Lugo,Galicia,"162,0",CN por etapas (7),3.1,29,"1,0","28,0",012803.1,3.1,"0,16001853132","128,0",I.28,"152274,24","4837400,246","LINESTRING Z (-7.308256318381492 43.6078147387996 15.578233654656668, -7.308954385584721 43.60833317565667 19.05292621558445, -7.30898789525685 43.60836583245126 18.832417001714184, -7.309003714028364 43.60838631601174 18.91248314495572, -7.30901120635276 43.60841144096539 18.91065361268331, -7.309005589881861 43.60843637196534 18.920240172663426, -7.3089751608318565 43.60846927387454 18.914650536760295, -7.30889450592775 43.60853954933298 18.781340532852063, -7.308774023770612 43.608627102600444 18.153803306224216, -7.308566631588233 43.608774118066044 17.2505291204115, -7.308508145506163 43.608813751498396 16.97488386390905, -7.308476311015483 43.60883829443885 16.83919169750253, -7.3084515095672895 43.608873683010025 16.623629787891765)",C:\Users\maria.b.calvo\Documents\Personal\Hackathon GenAI\hackathon-repo\Hackathon-PNAV\Datos\Datos Rutas\Caminos Naturales\CCNN_ETAPAS_06_24_3D_GENE.shp,,,,,,,,,Galicia,Lugo
29TPJ14,81,Camino Natural de la Ruta del Cantábrico,Alternativa Etapa 6: Viveiro - O Vicedo,Camino Natural de la Ruta del Cantábrico Alternativa Etapa 6: Viveiro - O Vicedo,"0,18852553047",Lugo,Galicia,"168,0",CN por etapas (7),6.1,29,"1,0","28,0",012806.1,6.1,"0,18954033839","128,0",I.28,"127692,789","4849524,102","LINESTRING Z (-7.620302916476728 43.705373475324556 69.73151953160394, -7.620336735060258 43.7053551395424 69.85312081483907, -7.620363545004823 43.70533164045211 69.87268113866448, -7.620419079448786 43.7052727539921 70.12110100907596, -7.620478087921352 43.705205571479034 70.4104250703643, -7.620530612310801 43.70513473725671 70.88419035855915, -7.62058614640655 43.70507585070892 71.35386669132338, -7.620671854928022 43.704989932165205 72.7294007529368, -7.620737319468511 43.704927591983555 72.92556883971854, -7.620799227880809 43.70487712022037 73.42274960465645, -7.6208208126730375 43.70486666047224 73.62198915277978, -7.620843738561879 43.7048693194142 73.96076193349, -7.620854955759985 43.70488136615334 74.17962077537719, -7.620852850105373 43.7049015900765 74.52691175152643, -7.62083632935671 43.70497762349233 76.31584813935048, -7.620809334791323 43.70515239489617 79.64451859547871, -7.620783650795564 43.7052700075196 81.52438675144353, -7.620754683736808 43.705387580513 82.79305771378961, -7.620735234760585 43.705448093785115 83.76497842342368, -7.620725716559207 43.7055051534952 84.56694140090471, -7.620726019928979 43.70556352287651 84.85796128642048, -7.620746542968057 43.70567097290542 84.60689321375264, -7.620741676116933 43.70574000012131 84.54707267472553, -7.620725537292814 43.70579936220019 84.84045025581692, -7.620715005632584 43.70582901352184 84.97500621706895, -7.620698235707962 43.70584429590733 84.88873929459905, -7.620647619695935 43.70587910497795 84.9656810499596)",C:\Users\maria.b.calvo\Documents\Personal\Hackathon GenAI\hackathon-repo\Hackathon-PNAV\Datos\Datos Rutas\Caminos Naturales\CCNN_ETAPAS_06_24_3D_GENE.shp,,,,,,,,,Galicia,Lugo
29TPJ04,82,Camino Natural de la Ruta del Cantábrico,Alternativa Etapa 6: Viveiro - O Vicedo,Camino Natural de la Ruta del Cantábrico Alternativa Etapa 6: Viveiro - O Vicedo,"1,47476873533",Lugo,Galicia,"169,0",CN por etapas (7),6.2,29,"1,0","28,0",012806.2,6.2,"1,47828819653","128,0",I.28,"125074,905","4853602,299","LINESTRING Z (-7.652644788323217 43.742265074735585 4.65550968692994, -7.652665500758699 43.742243182530785 4.570691449059831, -7.652675916712663 43.742218291590085 4.484454996515435, -7.6526750220898965 43.74218492938494 4.41169117363772, -7.652647593844635 43.74208931555653 4.3609054767769075, -7.652514860098744 43.74170777985333 4.655303618589066, -7.652396910317959 43.741326418310464 5.7916819531693005, -7.65235478071134 43.741227057643925 6.059353718893163, -7.652320997201804 43.74112183973106 6.560299412265266, -7.652319995913135 43.741093240782796 6.737185508427503, -7.652333910473976 43.741058862080266 6.938216532438066, -7.6523559839544895 43.741026961852505 7.061152630491836, -7.652401319171233 43.74098342462059 7.302640932462651, -7.652530033333147 43.740884887374456 7.7531648326031775, -7.652568825152709 43.740840081790154 7.929359192067425, -7.652626191539275 43.7407728637044 8.227301189749404, -7.65292523972726 43.7404047562943 9.785146569893193, -7.653011221271038 43.74030690590301 10.308755483090735, -7.653111036334656 43.74017824908016 10.932603687900116, -7.653185973975337 43.740060019161454 11.598772296726272, -7.6532271547291195 43.73998188983032 11.87961873990182, -7.653266773019064 43.739900168676904 12.294380384388578, -7.653332389251656 43.73975800618414 13.150687848488078, -7.653443537889952 43.73949012026445 14.060569938918057, -7.6534747031719625 43.73941901961004 14.252091188268814, -7.653512571545758 43.73934204226903 14.47777624292377, -7.6535464610253054 43.73929598744653 14.651450198518685, -7.653597094977989 43.73923583631799 14.922034493312875, -7.653627405910516 43.73920284175286 15.079559413055675, -7.653662510641467 43.73917585931216 15.316748052815976, -7.6537173777899055 43.73914672741332 15.519789143959448, -7.653793729799097 43.739111892924434 15.777629229798775, -7.65413266732913 43.73901583006348 17.136081003480854, -7.654665153339062 43.738860106044825 19.676331769952483, -7.654727885133942 43.73884655095063 20.061620901017804, -7.654780655749872 43.738837643091564 20.36156495118701, -7.65484325417667 43.738830042020716 20.60203397045482, -7.654914038000235 43.7388237283905 21.020667286582267, -7.655004424144296 43.73882240995018 21.592749576768075, -7.655084742522733 43.73883050200557 22.204919330038475, -7.655168159152142 43.73884696838399 22.888904226578333, -7.655270991612304 43.73887676561446 23.438644749194633, -7.655419465381984 43.73892258447194 24.44994353431864, -7.655561343054939 43.73896951666828 25.33799944547561, -7.6556493674970305 43.73900033047968 25.975161848890068, -7.655709417577673 43.73903319742165 26.475081050708873, -7.655756594808676 43.73905400159902 26.802028839516552, -7.655790845857333 43.739065124663206 27.024743234271526, -7.655828461697842 43.73907271390033 27.385120767499696, -7.655866290699803 43.73907077658164 27.609108103149588, -7.6559189814289 43.73906544065145 27.978745499029085, -7.656223770913281 43.73895348524147 29.729988457284406, -7.6564257440490815 43.738884392119175 30.76597049341164, -7.656921619087161 43.73867581735069 32.35762950515078, -7.6571239897878804 43.73858886068949 32.83225864916761, -7.657289907556021 43.73851576895326 33.22565606482908, -7.657356322456263 43.73848438871576 33.186463005943324, -7.657384589353278 43.738469236104166 33.27332516217529, -7.657412643334271 43.73846361003589 33.4500546691837, -7.657445544693722 43.73846161430224 33.6638469013603, -7.65748980984204 43.73846570771417 34.08956043426705, -7.657553677441079 43.73847479590721 34.708117320334914, -7.657624008255793 43.73848872451024 35.2846941319779, -7.6577026309652165 43.73849917707021 35.926890652046524, -7.657771479070795 43.738505941378136 36.507342707542136, -7.657836989167386 43.73851504870415 37.19495589857448, -7.657973043056674 43.73852855783021 38.42698413993891, -7.658007374037855 43.738536107775104 38.7986176336379, -7.658041625226841 43.7385472301671 39.26819465552873, -7.658069253589976 43.73856065704332 39.632509556160954, -7.658088590116087 43.73857755994187 39.972033684057656, -7.658102946222264 43.73859678661893 40.21626421480818, -7.658113804722891 43.73862550127651 40.79809953919918, -7.6581180137870035 43.73865771124915 41.400828738249686, -7.658115546805518 43.73869460735658 42.199736968263885, -7.658106190971306 43.73874571615083 43.015370383949005, -7.658090105857093 43.73880389271517 43.84369861505881, -7.658067078636083 43.738878663598534 44.545115726309334, -7.658032341604344 43.73896282602144 45.5442281151439, -7.658026908922288 43.73898539372258 45.75067525460174, -7.6580263769009465 43.739009210102815 45.89361334574039, -7.6580291297243805 43.739033065056496 45.99286900465766, -7.658039669052826 43.73907606954755 46.22014628476157, -7.658063480798684 43.739113274233766 46.42391781136536, -7.658121278132043 43.73917350947698 46.79571459731572, -7.658197009302543 43.739239910917185 47.18891026616632, -7.658261615981121 43.739289505857535 47.580247726143256, -7.658332792491468 43.73933917789263 48.0470724087862, -7.658366858034801 43.739358635925946 48.23512133242436, -7.658400817224305 43.7393828572258 48.59212298348668, -7.658433001040944 43.739413013330335 48.87671750271169, -7.6584503497956 43.739445377537486 49.35002667004727, -7.658459566171492 43.73947407288126 49.827821486613004, -7.658468516628035 43.739514676415496 50.61255818987293, -7.658489882305608 43.73966143637332 53.76987104527001, -7.658498114813148 43.73973419201995 55.08741977408128, -7.658504080700123 43.739982017346925 59.455279695332166, -7.658495862156843 43.740055771005274 60.78707617477764, -7.658486766021901 43.740168821688684 62.43320800990337, -7.658474677460348 43.740268734798576 63.63871775615973, -7.658447274838675 43.74039229075345 64.78468890390637, -7.658402224090931 43.74057043154783 66.83689128831072, -7.658371356531375 43.74062843459232 67.65308919742225, -7.6583293373903505 43.7406708220019 68.29365439451658, -7.658265886301221 43.74071653116188 68.95022753073616, -7.65820262131004 43.740753904553834 69.12675346442613, -7.6581279387465875 43.74078757045235 69.02140703681394, -7.657909004214434 43.74088028998485 68.14643745350592, -7.657880576662635 43.74090258761839 67.91298329713922, -7.657851936239121 43.74093441179256 67.66103022323705, -7.657816193741886 43.74098997516713 67.17192038037902, -7.657778196718305 43.74107290806262 66.64269246394663, -7.657610022180861 43.74139372919309 65.53624887449921, -7.657550299666102 43.7414930826365 65.38078032230119, -7.657385023872166 43.74168410420245 65.1752863946196, -7.6573059367515475 43.74176774530389 65.06851751761194, -7.657121002630214 43.741956153243386 66.40824355989011, -7.657080411188544 43.742008086005086 66.99586460952723, -7.657030914936912 43.742090883505426 67.50561523686024, -7.656984623688274 43.74217729204071 67.73676419393674, -7.656931229746327 43.74228743969553 67.90791675269057, -7.6568793716102945 43.74240236989631 68.2904594709455, -7.6568159623941305 43.7425195465667 68.39288871947858, -7.656781354533517 43.742597754419045 68.2291794154142, -7.65675498581752 43.74267486797313 68.2163478328154, -7.656740141326225 43.74275092584836 68.3334364043668, -7.656736847734447 43.74282473723234 68.17260495083627, -7.656744812154187 43.74290940111985 68.0804520231222, -7.656799088184645 43.743200674933085 68.1137185156184, -7.656802551183548 43.743266227814765 68.69125557174138, -7.656792927132014 43.743329244613115 68.97088801829484, -7.656776839414139 43.74338742091483 69.22924626535853, -7.656737489761342 43.74345723509394 69.87947133937001, -7.656728398226007 43.74349643553481 70.18179259749459, -7.656720336706019 43.74356304408241 69.77612721303879, -7.656713464980053 43.7436499158315 68.84503721450193, -7.656713855851384 43.743705903556204 68.41230632933893, -7.656725345110675 43.74377988869172 67.9902017061672, -7.656720568648474 43.7438465358499 67.23116185833446, -7.656720400261314 43.74392753073704 66.89376426390321, -7.65671292535321 43.74418830042132 65.37287231506814, -7.656719247307863 43.74427294498534 64.81914905280158, -7.656729307152039 43.744337384269194 64.2830306910571, -7.65674771301653 43.744395966001065 63.68811085247344, -7.656763217702553 43.74441471125186 63.63234017685991)",C:\Users\maria.b.calvo\Documents\Personal\Hackathon GenAI\hackathon-repo\Hackathon-PNAV\Datos\Datos Rutas\Caminos Naturales\CCNN_ETAPAS_06_24_3D_GENE.shp,,,,,,,,,Galicia,"A Coruña, Lugo"
29TPJ04,83,Camino Natural de la Ruta del Cantábrico,Alternativa Etapa 6: Viveiro - O Vicedo,Camino Natural de la Ruta del Cantábrico Alternativa Etapa 6: Viveiro - O Vicedo,"0,10360758747",Lugo,Galicia,"170,0",CN por etapas (7),6.3,29,"1,0","28,0",012806.3,6.3,"0,10380955972","128,0",I.28,"123607,74","4853577,927","LINESTRING Z (-7.67403717933157 43.74004845663211 20.46924642819058, -7.6740405521826975 43.73999300766246 20.191901355999878, -7.674038200696639 43.73987624948666 19.67621266490344, -7.674036046020326 43.739825005828976 19.43889208401943, -7.674027452955254 43.73976773180938 19.16557089594862, -7.674017441220902 43.739625870984035 18.005138991649815, -7.674017323284484 43.73955678398166 17.378292393662914, -7.674034760027465 43.73943668200218 16.92106598079045, -7.674086123124977 43.73926813724838 15.881633325101111, -7.6741059900996635 43.73926122095969 15.836748879527443, -7.67412728925169 43.73926385033712 15.823180782882647, -7.674182685426814 43.73928474226699 15.564633389957956, -7.6742364129198535 43.73930680594325 15.06091605576498, -7.6742640134406646 43.73931988056659 14.608856950784178)",C:\Users\maria.b.calvo\Documents\Personal\Hackathon GenAI\hackathon-repo\Hackathon-PNAV\Datos\Datos Rutas\Caminos Naturales\CCNN_ETAPAS_06_24_3D_GENE.shp,,,,,,,,,Galicia,"A Coruña, Lugo"
29TNJ94,84,Camino Natural de la Ruta del Cantábrico,Ramal: Casa da Vela,Camino Natural de la Ruta del Cantábrico Ramal: Casa da Vela,"0,84635230424",A Coruña,Galicia,"172,0",CN por etapas (7),7.1,29,"1,0","28,0",012807.1,7.1,"0,84894311868","128,0",I.28,"112784,591","4852498,369","LINESTRING Z (-7.8061820094507794 43.721205086677 13.768199712341088, -7.806119320390644 43.72128201362313 13.828797049128275, -7.806044508495631 43.72134412417499 13.883615315133065, -7.805982889496791 43.72140351378 13.938125847976082, -7.805946797050902 43.72143458274001 13.92223679652152, -7.805938404329165 43.72146022363447 13.861771752508428, -7.805953638013328 43.72148706428524 13.850419752524232, -7.805974201926885 43.721510148980634 13.851973485575403, -7.806006777764493 43.72152383006171 13.893391616999168, -7.806040742938089 43.72153371400644 13.932182858951592, -7.8060627340654 43.72155109613365 14.006482878882158, -7.806243461483961 43.72184552750599 15.336776299845559, -7.806343890403698 43.72201524159821 16.18261817416028, -7.806415373476428 43.722120808307714 17.0754176307827, -7.806473068751428 43.72219287912191 17.56216165368063, -7.8065259257111945 43.72224393535456 17.906851044573813, -7.80656345402485 43.7222729145579 18.156351888181796, -7.80656964396946 43.72229203740165 18.284216079549594, -7.806558605173338 43.722318603616955 18.438880569784313, -7.806531367529536 43.72236691760749 18.836468734909847, -7.806429722540143 43.722523086298565 20.869701128904488, -7.806378328147877 43.72259687653946 21.74568900086768, -7.806331923390806 43.72268405961361 22.33987732404708, -7.806289478390369 43.722770331116564 23.28168544505976, -7.806257580385122 43.72285480694766 24.459366546442826, -7.806233602098944 43.722937459672984 25.602918882571824, -7.806215946092792 43.72303256626384 26.539701002217708, -7.8062090831673965 43.72311349193899 26.991030370112, -7.8062146297725 43.72316500702372 27.042593183947663, -7.806231147969561 43.72325951766633 27.07378968875223, -7.8062567673097005 43.72335888791909 26.738791236455874, -7.806301240443747 43.72350133604373 26.610124288076513, -7.806361061694047 43.72366490847009 26.845383370085095, -7.806452344315336 43.723898371863086 27.75429394968897, -7.806534045026794 43.72408504252416 29.69250209145857, -7.806592856417678 43.72423335770917 32.15109205184817, -7.806622777201898 43.72431466749226 33.533506240750384, -7.806701908332833 43.724498452460004 37.121922256040165, -7.806721830476818 43.7245539292468 37.69625062461088, -7.806727547850706 43.72459686988857 38.073710133412675, -7.806730618920222 43.7246407358095 38.53716797993563, -7.806725845620276 43.724682614006625 39.04298360939495, -7.806710430307361 43.72473105145722 39.80913325455363, -7.806674533937918 43.72481834435814 40.524223145036004, -7.806634639601095 43.72490845422966 41.11495307497608, -7.8065873636960434 43.72500634851155 41.54924104250546, -7.80654953424567 43.725091715363284 41.89612384864837, -7.806541570578546 43.725161909300574 42.06054642425563, -7.8065534780929395 43.725223972784484 42.39006648605359, -7.80657857005345 43.72528379166995 42.49807126149286, -7.806609085036805 43.72531865329547 42.96485517992425, -7.806655997844853 43.725354877272565 43.59798275677496, -7.806711216003607 43.72538642339976 44.49682579627715, -7.806787853032704 43.72541461971563 44.6299416607517, -7.80696744893326 43.72546890469519 44.97113342241218, -7.807060389485028 43.72550322670543 44.5472524499453, -7.807145143035234 43.72553627205165 44.392864361857704, -7.807223139017016 43.72557877590564 44.19475037533177, -7.807300827899779 43.725636761284775 43.81798518762702, -7.807554322040056 43.725857384591215 42.38982164230882, -7.807763160321712 43.72601083780739 42.24580784522232, -7.807892903495771 43.72609437968066 42.989348308305225, -7.807995226180082 43.726152621534126 43.72282823190547, -7.808068462382001 43.7261867372037 44.301903024192626, -7.808161310223295 43.72622582189737 45.03471850586901, -7.808260939380574 43.72625425699539 45.71840800562414, -7.808334506421965 43.72627170002486 46.0366119543857, -7.8084115467274575 43.72627965012391 46.38358830323497, -7.808495226559604 43.726284095981235 46.766965231375075, -7.808582403205696 43.726277857997424 47.24669304483953, -7.808671316424439 43.72626687350092 47.64559064676871, -7.808780218876382 43.72624180364233 48.15193418661042, -7.8088908814103295 43.72621079633812 48.74085672851679, -7.80901796550555 43.72617996005767 48.95694412454007, -7.8092724636130955 43.726101614589304 50.51300681457076, -7.809363160167379 43.72608350131109 51.021171152269666, -7.809460378148128 43.72606783817016 51.45389824016484, -7.8095558595669425 43.72605692140636 51.80644217278025, -7.809784379830048 43.726046199015954 52.96529837400143, -7.809851944375045 43.72603499126512 53.39767566480066, -7.809893352180289 43.726017555410955 53.64057695716356, -7.809888387005465 43.725936506378794 55.75980893973965, -7.809898672877703 43.72583179341673 58.28251097773764, -7.809909445448318 43.72578545124366 59.265381545990316, -7.809925285946903 43.72573201501885 59.533932182097686, -7.8099424384611025 43.725695268374544 59.526404482743175, -7.8099753994476915 43.725689655905114 59.50433220944158, -7.810014693267747 43.725696020738134 59.55618265575614, -7.810012650289283 43.725716248798854 59.589304535982976)",C:\Users\maria.b.calvo\Documents\Personal\Hackathon GenAI\hackathon-repo\Hackathon-PNAV\Datos\Datos Rutas\Caminos Naturales\CCNN_ETAPAS_06_24_3D_GENE.shp,,,,,,,,,Galicia,A Coruña
