ID_Ruta,CUADRICULA
1770,30SWG08
1773,30SWF29
1773,30SWF19
1773,30SWF09
1783,30SVF58
1783,30SVF68
1784,30SWH12
1786,30STG48
1786,29SQB69
1786,30STG39
1786,30STG59
1786,30STH50
1786,30STG49
1786,29SQB59
1799,30SVG57
1799,30SVG58
1803,30STF96
1803,30SUF06
1811,30SVF89
1811,30SVF99
1811,30SVG80
1811,30SVG90
1814,30SVG58
1814,30SVG68
1817,30SVG68
1818,30SVH02
1818,30SVH12
1822,29SQC20
1822,29SQC10
1822,29SQC11
1822,29SQC21
1823,30SVH12
1823,30SVH22
1823,30SVH32
1824,30SVG14
1824,30SVG04
1828,30SUG70
1828,30SUG80
1828,30SUG81
1831,30SUF69
1831,30SUG60
1843,30SUG40
1843,30SUG50
1843,30SUG41
1843,30SUG51
1848,30SWG14
1848,30SWG15
1862,30SUF02
1862,30SUF03
1864,30SVF26
1864,30SVF27
1878,30STF70
1878,30STF71
1878,30STF81
1878,30STF72
1878,30STF82
1882,30SVG58
1887,30SVF16
1887,30SVF26
1891,30SUF28
1891,30SUF38
1893,30SUF79
1893,30SUF89
1902,30SUG62
1902,30SUG72
1906,30SUG20
1906,30SUG21
1906,30SUG22
1914,30SUH91
1914,30SVH01
1914,30SVH02
1920,30SWF09
1920,30SWG00
1920,30SWG10
1931,30SWF09
1936,29SPB42
1936,29SPB32
1936,29SPB43
1936,29SPB33
1937,30SUH60
1937,30SUH70
1947,30SUF88
1947,30SUF89
1948,30SUG71
1948,30SUG81
1952,30SWG00
1957,30SVG70
1957,30SVG60
1959,30SVF79
1959,30SVF89
1961,30SUG32
1961,30SUG33
1966,30SUF55
1981,30SWG51
1981,30SWG41
2018,30SUF34
2018,30SUF44
2018,30SUF54
2018,30SUF55
2021,30STF84
2021,30STF94
2042,30SWH20
2042,30SWH10
2042,30SWH21
2042,30SWH11
2043,30SUH40
2043,30SUG39
2043,30SUH30
2050,30STG88
2050,30STG98
2050,30SUG08
2050,30STG89
2050,30STG99
2056,30STG69
2056,30STH50
2056,30STH60
2062,30SWG00
2062,30SWG10
2063,30SUF78
2063,30SUF88
2063,30SUF79
2063,30SUF89
2065,30SWH33
2065,30SWH34
2069,30SUG62
