taxonid,name,taxonrank,origen,taxonomicgroup,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,nametype
11043,"Carabus coarctatus Brullé, 1838",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,,coarctatus,,Aceptado/válido
11045,"Coccothraustes coccothraustes (Linnaeus, 1758)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,,coccothraustes,,Aceptado/válido
11047,"Fringilla coelebs Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,,coelebs,,Aceptado/válido
11051,"Chalcides coeruleopunctatus Salvador, 1975",Species,Especie nativa,Reptiles,Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides,,coeruleopunctatus,,Aceptado/válido
11053,"Phasianus colchicus Linnaeus, 1758",Species,Especie no nativa,Aves,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,,colchicus,,Aceptado/válido
11054,"Prunella collaris (Scopoli, 1769)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,,collaris,,Aceptado/válido
11055,"Lanius collurio Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,,collurio,,Aceptado/válido
11056,"Phylloscopus collybita (Vieillot, 1817)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,,collybita,,Aceptado/válido
11059,"Falco columbarius Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,columbarius,,Aceptado/válido
11060,"Luciobarbus comizo (Steindachner, 1865)",Species,Especie nativa,Peces,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luciobarbus,,comizo,,Aceptado/válido
11060,"Barbus comizo Steindachner, 1864",Species,Especie nativa,Peces,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,,comizo,,Sinónimo
80921,"Sylvia communis Latham, 1787",Species,Desconocido,Aves,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,,communis,,Sinónimo
11063,"Gonionma compressisquama Tinaut, 1994",Species,,Invertebrados,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Gonionma,,compressisquama,,Aceptado/válido
11066,"Aulonogyrus concinnus (Klug, 1833)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Aulonogyrus,,concinnus,,Aceptado/válido
11067,"Hygrotus confluens (Fabricius, 1787)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hygrotus,Coelambus,confluens,,Aceptado/válido
11068,"Bombus confusus Schenck,1861",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Confusibombus,confusus,,Aceptado/válido
11069,"Stenelmis consobrina consobrina Dufour, 1835",Subspecies,,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Stenelmis,,consobrina,consobrina,Aceptado/válido
11071,"Agabus conspersus (Marsham, 1802)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Gaurodytes,conspersus,,Aceptado/válido
80923,"Sylvia conspicillata Temminck, 1820",Species,Desconocido,Aves,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,,conspicillata,,Sinónimo
11073,"Hydroporus constantini Hernando & Fresneda, 1996",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,,constantini,,Aceptado/válido
11074,"Hydrobius convexus Brullé, 1835",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrobius,,convexus,,Aceptado/válido
11075,"Corvus corax Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,corax,,Aceptado/válido
11077,"Hydraena cordata Schaufuss, 1833",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,cordata,,Aceptado/válido
11079,"Limnebius cordobanus Orchymont, 1938",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Limnebius,,cordobanus,,Aceptado/válido
11081,"Meladema coriacea Laporte, 1834",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Meladema,,coriacea,,Aceptado/válido
11082,"Hydraena corinna Orchymont, 1936",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,corinna,,Aceptado/válido
11084,"Amorphocephala coronata (Germar, 1817)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Amorphocephala,,coronata,,Aceptado/válido
11085,"Sorex coronatus Millet, 1828",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,,coronatus,,Aceptado/válido
11086,"Corvus corone Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,,corone,,Aceptado/válido
11087,"Ochthebius corrugatus Rosenhauer, 1856",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,corrugatus,,Aceptado/válido
11088,"Hydraena corrugis Orchymont, 1934",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,corrugis,,Aceptado/válido
11089,"Onychogomphus costae Selys, 1885",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Onychogomphus,,costae,,Aceptado/válido
11091,"Deronectes costipennis costipennis Brancucci, 1983",Subspecies,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Deronectes,,costipennis,costipennis,Aceptado/válido
11092,"Deronectes costipennis gignouxi Fery & Brancucci, 1989",Subspecies,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Deronectes,,costipennis,gignouxi,Aceptado/válido
11094,"Coturnix coturnix (Linnaeus, 1758)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,,coturnix,,Aceptado/válido
11095,"Bidessus coxalis Sharp, 1880-82",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Bidessus,,coxalis,,Aceptado/válido
11097,"Anas crecca Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,crecca,,Aceptado/válido
11099,"Methles cribratellus (Fairmaire, 1880)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Methles,,cribratellus,,Aceptado/válido
11100,"Hystrix cristata Linnaeus, 1758",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix,,cristata,,Aceptado/válido
11101,"Fulica cristata Gmelin, JF, 1789",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,,cristata,,Aceptado/válido
11102,"Galerida cristata (Linnaeus, 1758)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,,cristata,,Aceptado/válido
16421,"Parus cristatus Linnaeus,1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,,cristatus,,Sinónimo
11105,"Nebrioporus croceus Angus, Fresneda & Fery, 1992",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Nebrioporus,,croceus,,Aceptado/válido
11107,"Bombus cullumanus (Kirby,1802)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Cullumanobombus,cullumanus,,Aceptado/válido
11108,"Pelobates cultripes (Cuvier, 1829)",Species,Especie nativa,Anfibios,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,,cultripes,,Aceptado/válido
11109,"Oryctolagus cuniculus (Linnaeus, 1758)",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,,cuniculus,,Aceptado/válido
11110,"Ochthebius cuprescens Guillenbau, 1893",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,cuprescens,,Aceptado/válido
11112,"Riolus cupreus (Müller, 1806)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Riolus,,cupreus,,Aceptado/válido
11113,"Cursorius cursor (Latham, 1787)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Cursorius,,cursor,,Aceptado/válido
11114,"Hydraena curta Kiesenwetter, 1849",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,curta,,Aceptado/válido
11115,"Oxygastra curtisii (Dale, 1834)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Oxygastra,,curtisii,,Aceptado/válido
11116,"Loxia curvirostra Linnaeus, 1758",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,,curvirostra,,Aceptado/válido
11118,"Hydrovatus cuspidatus (Kunze, 1818)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydrovatus,,cuspidatus,,Aceptado/válido
80935,"Cyanopica cyana Pallas,1776",Species,,Aves,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanopica,,cyana,,Sinónimo
11120,"Circus cyaneus (Linnaeus, 1766)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,,cyaneus,,Aceptado/válido
11122,"Oulimnius cyneticus Berthélemy & Terra, 1979",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,,cyneticus,,Aceptado/válido
11123,"Iberolacerta cyreni (Müller & Hellmich, 1937)",Species,Especie nativa,Reptiles,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta,,cyreni,,Aceptado/válido
11124,"Pyrenaearia daanidentata Raven, 1988",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Pyrenaearia,,daanidentata,,Aceptado/válido
11125,"Saxicola dacotiae (Meade-Waldo, 1889)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,,dacotiae,,Aceptado/válido
11128,"Rana dalmatina Bonaparte, 1840",Species,Especie nativa,Anfibios,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,,dalmatina,,Aceptado/válido
11129,"Dama dama (Linnaeus, 1758)",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,,dama,,Aceptado/válido
11130,"Furcopenis darioi Castillejo & Wiktor, 1983",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Furcopenis,,darioi,,Aceptado/válido
11131,"Myotis daubentonii (Kuhl, 1817)",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,,daubentonii,,Aceptado/válido
11132,"Cecropis daurica (Laxmann, 1769)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Cecropis,,daurica,,Aceptado/válido
11133,"Boetersiella davisi Arconada & Ramos, 2001",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Boetersiella,,davisi,,Aceptado/válido
11134,"Oreodytes davisii (Curtis, 1831)",Species,,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Oreodytes,,davisii,,Aceptado/válido
11135,"Streptopelia decaocto (Frivaldszky, 1838)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,,decaocto,,Aceptado/válido
11136,"Hydroporus decipiens Sharp, 1878",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,,decipiens,,Aceptado/válido
11138,"Gyrinus dejeani Brullé, 1832",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus,dejeani,,Aceptado/válido
11140,Siagona dejeani Rambur 1838,Species,,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Siagona,,dejeani,,Aceptado/válido
11141,"Tarentola delalandii (Duméril & Bibron, 1836)",Species,Especie nativa,Reptiles,Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,Tarentola,,delalandii,,Aceptado/válido
11142,"Deronectes delarouzei (du Val, 1857)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Deronectes,,delarouzei,,Aceptado/válido
11143,"Graptodytes delectus (Wollaston,1864)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Graptodytes,,delectus,,Aceptado/válido
11144,"Ochthebius delgadoi Jäch, 1994",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,delgadoi,,Aceptado/válido
11145,"Hydraena delia Balfour-Browne, 1978",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,delia,,Aceptado/válido
11146,"Parachtes deminutus (Denis, 1957)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Parachtes,,deminutus,,Aceptado/válido
11147,"Ochthebius dentifer Rey, 1885",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,dentifer,,Aceptado/válido
11148,"Deronectes depressicollis (Rosenhauer, 1856)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Deronectes,,depressicollis,,Aceptado/válido
11149,Cephalota deserticoloides (Codina 1931),Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cephalota,Taenidia,deserticoloides,,Aceptado/válido
11150,"Chilostoma desmoulinsi bechi (Altimira, 1959)",Subspecies,,Invertebrados,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Chilostoma,Chilostoma,desmoulinsi,bechi,Aceptado/válido
11152,"Trechus detersus Wollaston, 1864",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Trechus,,detersus,,Aceptado/válido
11153,"Ilybius dettneri (Fery, 1986)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Ilybius,,dettneri,,Aceptado/válido
11156,"Ochthebius diazi Jäch, 1999",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,diazi,,Aceptado/válido
11157,"Hydraena diazi Trizzino, Jäch & Ribera, 2011",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Hydraena,Hydraena,diazi,,Aceptado/válido
11158,"Alytes dickhilleni Arntzen & García-París, 1995",Species,Especie nativa,Anfibios,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes,,dickhilleni,,Aceptado/válido
11160,"Ochthebius difficilis Mulsant, 1844",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Ochthebius,difficilis,,Aceptado/válido
11162,"Ochthebius dilatatus Stephens, 1829",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,Asiobates,dilatatus,,Aceptado/válido
11166,"Calonectris diomedea (Scopoli, 1769)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,,diomedea,,Aceptado/válido
11168,"Canthydrus diophthalmus (Reiche & Saulcy, 1855)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Noteridae,Canthydrus,,diophthalmus,,Aceptado/válido
11169,"Helophorus discrepans Rey, 1885",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Helophoridae,Helophorus,Rhopalohelophorus,discrepans,,Aceptado/válido
11170,"Hydroporus discretus Fairmaire & Brisout, 1859",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,,discretus,,Aceptado/válido
11171,"Gyrinus distinctus Aubé, 1836",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus,distinctus,,Aceptado/válido
11173,"Dryops doderoi Bollow, 1936",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dryopidae,Dryops,,doderoi,,Aceptado/válido
11608,"Columba domestica Gmelin,1789",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,domestica,,Sinónimo
11176,"Passer domesticus (Linnaeus, 1758)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,,domesticus,,Aceptado/válido
11179,"Charadrius dubius Scopoli, 1786",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,,dubius,,Aceptado/válido
11180,"Microtus duodecimcostatus (De Sélys-Longchamps, 1839)",Species,Especie nativa,Mamíferos,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,,duodecimcostatus,,Aceptado/válido
