taxonid,name,taxonrank,origen,taxonomicgroup,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,nametype
6,Sambucus nigra subsp. palmensis (Link) Bolli,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,,nigra,palmensis,Aceptado/válido
8,Aichryson pachycaulon Bolle subsp. pachycaulon,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aichryson,,pachycaulon,pachycaulon,Aceptado/válido
10,Aichryson porphyrogennetos Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aichryson,,porphyrogennetos,,Aceptado/válido
11,Anagyris latifolia Willd.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Anagyris,,latifolia,,Aceptado/válido
46,Argyranthemum frutescens (L.) Sch. Bip.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,,frutescens,,Aceptado/válido
55,Artemisia armeniaca Lam.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,armeniaca,,Aceptado/válido
9916,Artemisia chamaemelifolia subsp. cantabrica M.Laínz,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,chamaemelifolia,cantabrica,Sinónimo
80437,Artemisia pedemontana Balb.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,pedemontana,,Sinónimo
61,Artemisia thuscula Cav.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,thuscula,,Aceptado/válido
117,Bellis cordifolia (Kunze) Willk.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,,cordifolia,,Aceptado/válido
121,Bupleurum balansae Boiss. & Reut.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,balansae,,Aceptado/válido
154,Chamaemelum fuscatum (Brot.) Vasc.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamaemelum,,fuscatum,,Aceptado/válido
159,Chamaemelum nobile (L.) All.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamaemelum,,nobile,,Aceptado/válido
31855,Chamomilla aurea (Loefl.) Coss. & Kralik,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamomilla,,aurea,,Sinónimo
162,Chamomilla recutita (L.) Rauschert,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamomilla,,recutita,,Sinónimo
3544,"Cheirolophus lagunae Olivares, Peris, Stübing & J.Martín",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,lagunae,,Sinónimo
170,Cistanche mauritanica (Coss. & Durieu) Beck,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Cistanche,,mauritanica,,Aceptado/válido
176,Conyza albida Willd. ex Spreng.,Species,Especie no nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conyza,,albida,,Aceptado/válido
208,Crepis pygmaea subsp. anachoretica Babc.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,,pygmaea,anachoretica,Sinónimo
208,Crepis granatensis (Willk.) Blanca & Cueto,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,,granatensis,,Aceptado/válido
219,Dittrichia graveolens (L.) Greuter,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Dittrichia,,graveolens,,Aceptado/válido
229,Dianthus inoxianus M.J.Gallego,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,,inoxianus,,Variación ortográfica/Chresónimo
245,Erigeron frigidus Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,,frigidus,,Aceptado/válido
265,Erysimum humile subsp. penyalarense (Pau) G. López,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum,,humile,penyalarense,Sinónimo
281,Festuca altopyrenaica Fuente & Ortúñez,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,,altopyrenaica,,Sinónimo
283,Festuca brigantina subsp. actiophyta M.I.Gut.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Festuca,,brigantina,actiophyta,Sinónimo
4750,Galium teres Merino,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,,teres,,Sinónimo
325,Genista dorycnifolia subsp. grosii (Font Quer) Font Quer & Rothm.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,,dorycnifolia,grosii,Aceptado/válido
352,Helichrysum decumbens Cambess.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helichrysum,,decumbens,,Sinónimo
352,Helichrysum stoechas (L.) Moench,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helichrysum,,stoechas,,Aceptado/válido
352,Helichrysum stoechas (L.) Moench subsp. stoechas,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helichrysum,,stoechas,stoechas,Sinónimo
358,Hymenostemma pseudanthemis (Kunze) Willk.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hymenostemma,,pseudanthemis,,Aceptado/válido
5264,Hieracium queraltense de Retz,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,,queraltense,,Sinónimo
376,Hieracium texedense Pau,Species,Desconocido,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,,texedense,,Aceptado/válido
94698,Hieracium vinyasianum Font Quer,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,,vinyasianum,,Sinónimo
33022,Hypochaeris rutea Talavera,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,,rutea,,Aceptado/válido
385,Ilex perado Aiton,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,,perado,,Aceptado/válido
394,Koeleria dasyphylla Willk.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Koeleria,,dasyphylla,,Aceptado/válido
405,Juniperus cedrus Webb & Berthel. subsp. cedrus,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,,cedrus,cedrus,Aceptado/válido
7756,Leuzea rhaponticoides Graells,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Leuzea,,rhaponticoides,,Sinónimo
469,Laphangium teydeum Wildpret & Greuter,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Laphangium,,teydeum,,Aceptado/válido
472,Launaea cervicornis (Boiss.) Font Quer & Rothm.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Launaea,,cervicornis,,Aceptado/válido
473,Launaea lanifera Pau,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Launaea,,lanifera,,Aceptado/válido
474,Launaea nudicaulis (L.) Hook. f.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Launaea,,nudicaulis,,Aceptado/válido
477,"Laurus novocanariensis Rivas-Mart., Lousa, Fern. Prieto, E. Días, J.C. Costa & C. Aguiar",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Laurus,,novocanariensis,,Aceptado/válido
480,"Limonium ejulabilis Rosselló, Mus & J.X. Soler",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,ejulabilis,,Aceptado/válido
481,Limonium inexpectans L. Sáez & Rosselló,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,inexpectans,,Aceptado/válido
482,"Limonium leonardi-llorensii L. Sáez, Á.C. Carvalho & Rosselló",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,leonardi-llorensii,,Aceptado/válido
483,Limonium barceloi Gil & L. Llorens,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,barceloi,,Aceptado/válido
484,Limonium brassicifolium (Webb & Berthel.) Kuntze subsp. brassicifolium,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,brassicifolium,brassicifolium,Aceptado/válido
485,Limonium carvalhoi Rosselló & L. Sáez,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,carvalhoi,,Aceptado/válido
33086,Limonium ovalifolium subsp. canariense Pignatti,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,ovalifolium,canariense,Sinónimo
487,Limonium perplexum L. Sáez & Rosselló,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,perplexum,,Aceptado/válido
488,Limonium relicticum R. Mesa & A. Santos,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,relicticum,,Aceptado/válido
489,Limonium silvestrei Aparicio,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,silvestrei,,Aceptado/válido
490,"Limonium vigoi L. Sáez, Curcó & Rosselló",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,vigoi,,Aceptado/válido
33101,"Narcissus alcaracensis Ríos, D. Rivera, Alcaraz & Obón",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,alcaracensis,,Sinónimo
80962,Narcissus bugei (Fern. Casas) Fern. Casas,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,bugei,,Sinónimo
33101,Narcissus longispathus Pugsley,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,longispathus,,Sinónimo
546,Narcissus nevadensis Pugsley,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,nevadensis,,Aceptado/válido
547,Narcissus nevadensis Pugsley subsp. nevadensis,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,nevadensis,nevadensis,Aceptado/válido
547,"Narcissus nevadensis subsp. enemeritoi Sánchez-Gómez, Carrillo, A. Hernández, M.A. Carrión & Güemes",Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,nevadensis,enemeritoi,Sinónimo subjetivo/heterotípico
34004,Narcissus radinganorum Fern. Casas,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,radinganorum,,Sinónimo
556,Olea cerasiformis Rivas-Mart. & del Arco,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,,cerasiformis,,Aceptado/válido
6738,Onopordum dissectum subsp. murbeckii (H.Lindb) Maire,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Onopordum,,dissectum,murbeckii,Sinónimo
622,Polygala balansae Coss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,,balansae,,Sinónimo
24271,Puccinellia fasciculata subsp. pungens (Pau) W.E.Hughes,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Puccinellia,,fasciculata,pungens,Sinónimo
631,Pulicaria canariensis Bolle subsp. canariensis,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pulicaria,,canariensis,canariensis,Aceptado/válido
7480,Quercus alpestris Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,alpestris,,Sinónimo
644,"Rhodanthemum arundanum (Boiss.) B.H. Wilcox, K. Bremer & Humphries",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Rhodanthemum,,arundanum,,Aceptado/válido
661,Santolina elegans Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,,elegans,,Aceptado/válido
663,Santolina oblongifolia Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,,oblongifolia,,Aceptado/válido
665,Santolina viscosa Lag.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,,viscosa,,Aceptado/válido
694,Senecio alboranicus Maire,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,alboranicus,,Sinónimo
674,Senecio auricula Coss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,auricula,,Sinónimo
674,Senecio auricula subsp. castellanus Ascaso & Pedrol,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,auricula,castellanus,Sinónimo
694,Senecio leucanthemifolius Poir.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,leucanthemifolius,,Aceptado/válido
694,"Senecio crassifolius auct., non Willd.",Nombre mal aplicado,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,crassifolius,,Sinónimo
751,Sideritis gomerae Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,gomerae,,Aceptado/válido
756,"Silene gazulensis A. Galán, J.E. Cortés, Vicente Orell. & Mor. Alonso",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,,gazulensis,,Aceptado/válido
8732,Taraxacum solenanthinum Sahlin,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,,solenanthinum,,Sinónimo
33030,Tanacetum funkii Sch.Bip. ex Willk.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,,funkii,,Sinónimo
791,"Teucrium cossonii subsp. punicum Mayol, Mus, Rosselló & Torres",Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,,cossonii,punicum,Aceptado/válido
792,Taraxacum gaditanum Talavera,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,,gaditanum,,Aceptado/válido
8732,Taraxacum ptilotoides Sahlin,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,,ptilotoides,,Sinónimo
1067,Tephroseris coincyi (Rouy) Holub,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tephroseris,,coincyi,,Sinónimo
8952,Thymus webbianus Rouy,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,,webbianus,,Sinónimo
831,Aeonium balsamiferum Webb & Berthel.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,,balsamiferum,,Aceptado/válido
1702,Allium pardoi Loscos,Species,Especie no nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,pardoi,,Sinónimo
839,Apollonias barbujana subsp. ceballosi (Svent.) G. Kunkel,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Apollonias,,barbujana,ceballosi,Aceptado/válido
840,Argyranthemum adauctum subsp. erythrocarpon (Svent.) Humphries,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,,adauctum,erythrocarpon,Aceptado/válido
1180,Argyranthemum broussonetii (Pers.) Humphries subsp. broussonetii,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,,broussonetii,broussonetii,Sinónimo
844,Sideritis amagroi Marrero Rodr. & B. Navarro,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,amagroi,,Aceptado/válido
848,Asparagus fallax Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,,fallax,,Aceptado/válido
850,Argyranthemum winteri (Svent.) Humphries,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Argyranthemum,,winteri,,Aceptado/válido
2452,"Armeria bigerrensis subsp. legionensis (Bernis) Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas",Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,,bigerrensis,legionensis,Sinónimo
853,Asteriscus schultzii (Bolle) Pit. & Proust,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteriscus,,schultzii,,Aceptado/válido
854,"Astragalus devesae Talavera, A. González & G. López",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,devesae,,Aceptado/válido
855,Atractylis arbuscula Svent. & Michaelis,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Atractylis,,arbuscula,,Aceptado/válido
861,Bencomia exstipulata Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Bencomia,,exstipulata,,Aceptado/válido
862,Bencomia sphaerocarpa Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Bencomia,,sphaerocarpa,,Aceptado/válido
863,Camptoloma canariense (Webb & Berthel.) Hilliard,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Camptoloma,,canariense,,Aceptado/válido
864,Carex perraudieriana Bornm.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,,perraudieriana,,Aceptado/válido
866,Ceropegia dichotoma subsp. krainzii (Svent.) Bruyns,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,,dichotoma,krainzii,Aceptado/válido
867,Chaetopogon fasciculatus subsp. prostratus (Hack. & Lange) M. Laínz,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chaetopogon,,fasciculatus,prostratus,Sinónimo
868,Cheirolophus santos-abreui A. Santos,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,santos-abreui,,Aceptado/válido
1229,Cheirolophus satarataensis (Svent.) Holub. subsp. satarataensis,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,satarataensis,satarataensis,Sinónimo
24397,Cheirolophus satarataensis subsp. dariasi (Svent.) G.Kunkel,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,satarataensis,dariasi,Sinónimo
871,Cheirolophus tagananensis (Svent.) Holub,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,tagananensis,,Aceptado/válido
874,Cheirolophus arbutifolius (Svent.) G. Kunkel,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,arbutifolius,,Aceptado/válido
876,Cheirolophus falcisectus Montelongo & Moraleda,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,falcisectus,,Aceptado/válido
877,Cheirolophus junonianus (Svent.) Holub,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,junonianus,,Aceptado/válido
878,Cheirolophus metlesicsii Montelongo,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,metlesicsii,,Aceptado/válido
879,Clethra arborea Aiton,Species,Especie no nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ericales,Clethraceae,Clethra,,arborea,,Aceptado/válido
881,Convolvulus lopezsocasi Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,,lopezsocasi,,Variación ortográfica/Chresónimo
3710,Convolvulus valentinus subsp. suffruticosus (Desf.) Maire,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,,valentinus,suffruticosus,Sinónimo
884,Convolvulus volubilis Link,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,,volubilis,,Aceptado/válido
887,Crambe scoparia Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Crambe,,scoparia,,Aceptado/válido
894,Descurainia artemisioides Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Descurainia,,artemisioides,,Aceptado/válido
895,Dorycnium broussonetii (Ser.) Webb & Berthel.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dorycnium,,broussonetii,,Sinónimo
896,Dorycnium spectabile (Ser.) Webb & Berthel.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dorycnium,,spectabile,,Sinónimo
899,Echium acanthocarpum Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,,acanthocarpum,,Aceptado/válido
900,Echium callithyrsum Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,,callithyrsum,,Aceptado/válido
902,Echium handiense Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,,handiense,,Aceptado/válido
903,Erodium maritimum (L.) L'Hér.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,,maritimum,,Aceptado/válido
4222,Echium valentinum Lag.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,,valentinum,,Sinónimo
906,Enneapogon persicus Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Enneapogon,,persicus,,Aceptado/válido
907,Euphorbia bourgeana Boiss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,bourgeana,,Aceptado/válido
908,Euphorbia bravoana Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,bravoana,,Aceptado/válido
909,Euphorbia handiensis Burchard,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,handiensis,,Aceptado/válido
910,Euphorbia mellifera Aiton,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,mellifera,,Aceptado/válido
469,Gnaphalium teydeum R.Knapp,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,,teydeum,,Sinónimo
913,Genista benehoavensis (Svent.) del Arco,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,,benehoavensis,,Aceptado/válido
915,Helianthemum bystropogophyllum Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,,bystropogophyllum,,Aceptado/válido
916,Globularia sarcophylla Svent.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Globularia,,sarcophylla,,Aceptado/válido
918,"Helianthemum inaguae Marrero Rodr., Gonz.-Mart. & F. González",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,,inaguae,,Aceptado/válido
