CUADRICULA,Nombre
29TPH96,Bufo bufo
29TPH05,Bufo bufo
30TTN56,Bufo bufo
30TTN66,Bufo bufo
30TTN76,Bufo bufo
30TTN96,Bufo bufo
30TUN06,Bufo bufo
30TUN16,Bufo bufo
30TUN26,Bufo bufo
30TUN36,Bufo bufo
30TUN46,Bufo bufo
30TUN56,Bufo bufo
30TUN66,Bufo bufo
30TUN76,Bufo bufo
30TUN86,Bufo bufo
30TUN96,Bufo bufo
30TVN06,Bufo bufo
30TVN26,Bufo bufo
30TVN36,Bufo bufo
30TVN46,Bufo bufo
30TVN56,Bufo bufo
30TVN66,Bufo bufo
30TVN76,Bufo bufo
30TVN86,Bufo bufo
30TVN96,Bufo bufo
30TWN06,Bufo bufo
30TWN16,Bufo bufo
30TWN26,Bufo bufo
30TWN36,Bufo bufo
30TWN46,Bufo bufo
30TWN56,Bufo bufo
30TWN66,Bufo bufo
30TWN76,Bufo bufo
30TWN86,Bufo bufo
30TWN96,Bufo bufo
30TXN06,Bufo bufo
30TXN16,Bufo bufo
30TXN26,Bufo bufo
30TXN36,Bufo bufo
30TXN46,Bufo bufo
30TXN56,Bufo bufo
30TXN66,Bufo bufo
29TPH15,Bufo bufo
29TMH94,Bufo bufo
29TPH35,Bufo bufo
29TNH14,Bufo bufo
29TPH55,Bufo bufo
29TNH24,Bufo bufo
29TPH65,Bufo bufo
29TNH34,Bufo bufo
29TPH75,Bufo bufo
29TNH44,Bufo bufo
29TPH85,Bufo bufo
29TNH54,Bufo bufo
29TPH95,Bufo bufo
29TNH64,Bufo bufo
29TQH15,Bufo bufo
29TNH84,Bufo bufo
30TTN65,Bufo bufo
30TTN75,Bufo bufo
30TTN85,Bufo bufo
30TTN95,Bufo bufo
30TUN05,Bufo bufo
30TUN25,Bufo bufo
30TUN35,Bufo bufo
30TUN55,Bufo bufo
30TUN65,Bufo bufo
30TUN75,Bufo bufo
30TUN85,Bufo bufo
30TUN95,Bufo bufo
30TVN15,Bufo bufo
30TVN25,Bufo bufo
30TVN35,Bufo bufo
30TVN45,Bufo bufo
30TVN55,Bufo bufo
30TVN75,Bufo bufo
30TVN85,Bufo bufo
30TVN95,Bufo bufo
30TWN05,Bufo bufo
30TWN15,Bufo bufo
30TWN25,Bufo bufo
30TWN35,Bufo bufo
30TWN45,Bufo bufo
30TWN55,Bufo bufo
30TWN65,Bufo bufo
30TWN75,Bufo bufo
30TWN85,Bufo bufo
30TWN95,Bufo bufo
30TXN05,Bufo bufo
30TXN15,Bufo bufo
30TXN25,Bufo bufo
30TXN35,Bufo bufo
30TXN45,Bufo bufo
30TXN55,Bufo bufo
30TXN65,Bufo bufo
30TXN75,Bufo bufo
30TXN85,Bufo bufo
29TPH14,Bufo bufo
29TMH83,Bufo bufo
29TMH93,Bufo bufo
29TPH34,Bufo bufo
29TNH03,Bufo bufo
29TPH44,Bufo bufo
29TPH54,Bufo bufo
29TNH13,Bufo bufo
29TPH64,Bufo bufo
29TNH23,Bufo bufo
29TPH74,Bufo bufo
29TNH33,Bufo bufo
29TPH84,Bufo bufo
29TNH43,Bufo bufo
29TPH94,Bufo bufo
29TNH53,Bufo bufo
29TNH63,Bufo bufo
29TNH73,Bufo bufo
29TNH93,Bufo bufo
30TTN54,Bufo bufo
30TTN64,Bufo bufo
30TTN84,Bufo bufo
30TTN94,Bufo bufo
30TUN04,Bufo bufo
30TUN24,Bufo bufo
30TUN44,Bufo bufo
30TUN54,Bufo bufo
30TUN64,Bufo bufo
30TUN74,Bufo bufo
30TUN84,Bufo bufo
30TUN94,Bufo bufo
30TVN14,Bufo bufo
30TVN24,Bufo bufo
30TVN34,Bufo bufo
30TVN44,Bufo bufo
30TVN54,Bufo bufo
30TVN64,Bufo bufo
30TVN74,Bufo bufo
30TVN84,Bufo bufo
30TVN94,Bufo bufo
30TWN04,Bufo bufo
30TWN14,Bufo bufo
30TWN24,Bufo bufo
30TWN34,Bufo bufo
30TWN44,Bufo bufo
30TWN54,Bufo bufo
30TWN64,Bufo bufo
30TWN74,Bufo bufo
30TWN84,Bufo bufo
30TWN94,Bufo bufo
30TXN04,Bufo bufo
30TXN14,Bufo bufo
30TXN24,Bufo bufo
30TXN34,Bufo bufo
30TXN44,Bufo bufo
30TXN54,Bufo bufo
30TXN64,Bufo bufo
30TXN74,Bufo bufo
30TXN84,Bufo bufo
30TXN94,Bufo bufo
30TYN04,Bufo bufo
30TYN14,Bufo bufo
30TYN24,Bufo bufo
29TMH92,Bufo bufo
31TCH53,Bufo bufo
29TNH12,Bufo bufo
29TPH63,Bufo bufo
31TCH33,Bufo bufo
29TNH22,Bufo bufo
29TPH73,Bufo bufo
31TCH23,Bufo bufo
29TPH83,Bufo bufo
31TCH13,Bufo bufo
29TNH42,Bufo bufo
29TPH93,Bufo bufo
29TQH03,Bufo bufo
31TBH83,Bufo bufo
29TNH72,Bufo bufo
31TBH63,Bufo bufo
30TTN53,Bufo bufo
30TTN63,Bufo bufo
30TTN83,Bufo bufo
30TTN93,Bufo bufo
30TUN03,Bufo bufo
30TUN33,Bufo bufo
30TUN63,Bufo bufo
30TUN83,Bufo bufo
30TUN93,Bufo bufo
30TVN03,Bufo bufo
30TVN13,Bufo bufo
30TVN23,Bufo bufo
30TVN33,Bufo bufo
30TVN43,Bufo bufo
30TVN53,Bufo bufo
30TVN63,Bufo bufo
30TVN73,Bufo bufo
30TVN83,Bufo bufo
30TVN93,Bufo bufo
30TWN03,Bufo bufo
30TWN13,Bufo bufo
30TWN23,Bufo bufo
30TWN33,Bufo bufo
30TWN43,Bufo bufo
30TWN53,Bufo bufo
30TWN63,Bufo bufo
30TWN73,Bufo bufo
30TWN83,Bufo bufo
30TWN93,Bufo bufo
30TXN03,Bufo bufo
30TXN13,Bufo bufo
30TXN23,Bufo bufo
30TXN33,Bufo bufo
30TXN43,Bufo bufo
30TXN53,Bufo bufo
30TXN63,Bufo bufo
30TXN73,Bufo bufo
30TXN83,Bufo bufo
30TYN03,Bufo bufo
30TYN13,Bufo bufo
30TYN23,Bufo bufo
30TYN33,Bufo bufo
30TYN43,Bufo bufo
31TCH72,Bufo bufo
29TPH32,Bufo bufo
31TCH62,Bufo bufo
29TMH91,Bufo bufo
29TPH42,Bufo bufo
29TNH01,Bufo bufo
29TPH52,Bufo bufo
31TCH42,Bufo bufo
29TNH11,Bufo bufo
29TPH62,Bufo bufo
31TCH32,Bufo bufo
29TNH21,Bufo bufo
31TCH22,Bufo bufo
31TCH12,Bufo bufo
29TNH41,Bufo bufo
29TPH92,Bufo bufo
31TCH02,Bufo bufo
31TBH92,Bufo bufo
29TNH61,Bufo bufo
31TBH82,Bufo bufo
31TBH62,Bufo bufo
29TNH91,Bufo bufo
29TQH42,Bufo bufo
31TBH52,Bufo bufo
29TPH01,Bufo bufo
30TTN62,Bufo bufo
30TTN82,Bufo bufo
30TTN92,Bufo bufo
30TUN02,Bufo bufo
30TUN12,Bufo bufo
30TUN22,Bufo bufo
30TUN32,Bufo bufo
30TUN62,Bufo bufo
30TUN72,Bufo bufo
30TVN02,Bufo bufo
30TVN12,Bufo bufo
30TVN22,Bufo bufo
30TVN32,Bufo bufo
30TVN42,Bufo bufo
30TVN62,Bufo bufo
30TVN72,Bufo bufo
30TVN82,Bufo bufo
30TVN92,Bufo bufo
30TWN02,Bufo bufo
30TWN12,Bufo bufo
