Nombre,Longitud_km
La Laguna Permanente. Ruta Roja - Principal,1.74
Visita arqueológica - Principal,1.16
Visita arqueológica - Derivación,0.10
Visita arqueológica - Derivación,0.29
El Castillo - Principal,1.36
Ses Sitges - Principal,7.79
Ruta del faro de l’Enciola - Principal,10.87
Sierra del Canal de Ses Figueres - Principal,7.64
Na Picamosques - Principal,7.46
"Ruta del museo, jardín botánico y monumento a los franceses - Principal",3.27
La Miranda - Principal,5.60
Caucón-Peñón de los Enamorados - Principal,15.24
Caucón-Peñón de los Enamorados - Derivación,0.45
Caucón-Tajo de la Caína - Principal,4.37
El Burgo-Puerto de la Mujer - Principal,11.50
La Rejía - Principal,7.32
Las Escaleretas - Principal,1.91
Las Escaleretas - Derivación,0.29
Puerto Saucillo-Puerto Bellina - Principal,4.45
PR-A-351 Puerto Saucillo-Torrecilla - Principal,19.98
SL-A-140 Quejigales-Torrecilla - Principal,14.93
SL-A-141 Yunquera-Los Sauces - Principal,16.76
PR-A-280 Istán-Charco del Canalón - Principal,13.26
SL-A-239 Charco de la Virgen - Principal,4.36
Ruta turística Puerta Verde de Marbella-Ronda - Principal,41.88
GR-243 Sierra de las Nieves Etapa Ronda-El Burgo - Principal,23.73
GR-243 Sierra de las Nieves Etapa El Burgo-Los Sauces-Yunquera - Principal,23.95
GR-243 Sierra de las Nieves Etapa Yunquera-Tolox - Principal,8.67
GR-243 Sierra de las Nieves Etapa Tolox-Guaro - Principal,13.89
GR-243 Sierra de las Nieves Etapa Guaro-Monda - Principal,6.43
GR-243 Sierra de las Nieves Etapa Monda-Istán - Principal,18.19
GR-243 Sierra de las Nieves Etapa Monda-Istán - Variante,16.16
Conejeras - Principal,2.48
El Burgo-La Fuensanta - Principal,4.54
PR-A-135 Istán-La Concha - Principal,10.76
PR-A-166 Istán-Herrizas de la Gallega - Principal,2.27
PR-A-167 Istán-Ojén - Principal,11.41
PR-A-168 Juanar-La Concha - Principal,13.71
PR-A-278 Juanar-El Pozuelo - Principal,6.32
SL-A-228 Cruz del Padre Ventura - Principal,1.83
SL-A-229 Río de los Horcajos - Principal,8.31
SL-A-246 Yunquera-Nacimiento de Río Grande - Principal,9.17
GR-243-1 Sierra de las Nieves Etapa Ojén-Istán - Principal,11.41
Litoral - Principal,11.64
Litoral - Derivación,2.34
Ruta de los Volcanes - Principal,10.16
Subida a la Caldera de Montaña Blanca - Principal,11.42
El Grifo-Tinguatón - Principal,6.56
La Costa a La Santa - Principal,5.79
Mancha Blanca-Playa de la Madera - Principal,18.91
Miradero a Las Malvas - Principal,9.65
Montaña del Rodeo - Principal,7.12
Termesana - Principal,3.23
Teneza a la Playa del Reisado - Principal,5.20
Los Regatones Negros - Principal,5.20
Abeque - Principal,4.67
Igueque - Principal,2.64
Cumbres de Ucanca - Principal,7.69
Cumbres de Ucanca - Variante,1.03
Cumbres de Ucanca - Derivación,0.80
Recibo Quemado - Principal,2.00
Mirador de Pico Viejo - Principal,0.71
Los Valles - Principal,4.87
Sámara - Principal,4.58
Sámara - Derivación,0.53
Montaña Blanca-La Rambleta - Principal,8.24
Montaña Blanca-La Rambleta - Derivación,1.40
Montaña de los Tomillos - Principal,5.14
Siete Cañadas - Principal,16.40
Siete Cañadas - Derivación,0.54
Siete Cañadas - Derivación,0.36
Alto de Guamaso - Principal,2.76
Alto de Guajara - Principal,3.40
Alto de Guajara - Derivación,0.34
Roques de García - Principal,3.53
Degollada de Guajara - Principal,2.37
Majúa - Principal,4.18
El Filo - Principal,14.22
Boca de Chavao - Principal,0.64
Alto de La Fortaleza - Principal,2.16
Alto de La Fortaleza - Derivación,0.39
Montaña Negra - Principal,3.16
Degollada del Cedro - Principal,1.89
Teide-Pico Viejo-Mirador de las Narices del Teide - Principal,9.62
Teide-Pico Viejo-Mirador de las Narices del Teide - Derivación,0.11
Chavao - Principal,4.35
Lomo Hurtado - Principal,4.96
Montaña Limón - Principal,2.28
La Fortaleza - Principal,11.11
Sanatorio - Principal,4.57
Corral del Niño-Yegua Blanca - Principal,6.45
Mirador de La Fortaleza - Principal,1.13
Arenas Negras - Principal,7.98
Portillo Alto - Principal,1.42
Telesforo Bravo - Principal,1.24
Montaña Rajada - Principal,2.13
Volcán de Fasnia - Principal,8.22
Chafarí - Principal,6.38
Ucanca - Principal,1.77
El Cerrillar-La Carnicería - Principal,3.02
Cuevas Negras - Principal,2.14
Teleférico-Montaña Blanca-Minas de San Jose - Principal,7.00
Llano de Ucanca-Boca Tauce - Principal,4.86
Barranco de Erques - Principal,2.36
Enlace Chafarí - Boca Tauce - Enlace,0.72
Enlace Portillo Alto - Jardín Botánico de El Portillo - Enlace,0.50
Las Creces - Principal,3.89
Pajarito al Ajugal - Principal,7.53
La Laguna Grande I - Principal,0.67
Raso Bruma a Risquillos - Principal,1.18
La Meseta de Hermigua-El Cedro - Principal,2.37
El Bailadero - Principal,0.44
Pajarito al Alto de Garajonay - Principal,2.74
Cañada de Jorge - Principal,3.15
La Meseta de Hermigua (Las tres Cascadas) - Principal,0.85
Reventon Oscuro a El Cedro - Principal,2.55
Agando a Casa del Manco - Principal,1.79
Subida al Alto de Garajonay - Principal,2.54
Pajarito al Chorro del Cedro - Principal,14.02
Laguna Grande-Alto de Garajonay - Principal,9.32
Ermita de Lourdes - Principal,0.73
Los Barranquillos - Principal,0.83
El Contadero-El Cedro - Principal,10.61
La Laguna Grande II - Principal,4.03
Canal de Camburero - Principal,9.09
Canal de Camburero - Variante,1.49
Puertos de Áliva - Principal,13.64
Brez-Canal de las Arredondas - Principal,4.95
Ruta de la Reconquista - Principal,62.14
Panderruedas-Posada de Valdeón - Principal,12.51
Ruta de Frassinelli - Principal,14.39
Entorno de Tresviso - Principal,2.99
Pueblos de Sajambre - Principal,10.58
Pueblos de Sajambre - Derivación,2.71
Senda del Mercadillo - Principal,13.07
Senda del Mercadillo - Derivación,3.25
Demués-Los Lagos - Principal,11.91
Demués-Los Lagos - Variante,3.22
Cueva de Santibañas (Ruta larga) - Principal,4.15
Cueva de Santibañas (Ruta larga) - Derivación,0.87
Vegarredonda-Ordiales - Principal,23.40
Senda del Arcediano - Principal,26.40
Senda del Arcediano - Derivación,1.86
Horcados Rojos - Principal,10.84
Horcados Rojos - Derivación,0.55
La Jocica-Carombo - Principal,13.93
Monte Camba (Tielve-Sotres) - Principal,13.51
Jou de los Cabrones - Principal,20.06
Montó (Valle de Prada) - Principal,10.83
Montó (Valle de Prada) - Derivación,2.76
Vega de Liordes - Principal,13.02
Ruta de los Lagos - Principal,5.92
Ruta de los Lagos - Variante,0.20
Vega de Ario - Principal,13.75
Cordiñanes-Collado Jermoso - Principal,5.28
Cordiñanes-Collado Jermoso - Variante,0.50
Cordiñanes-Collado Jermoso - Variante,0.37
Soto-Vegabaño - Principal,10.77
Urdón-Tresviso - Principal,11.89
Camarmeña - Principal,1.85
Orandi - Principal,5.08
Pandetrave-Collado Jermoso - Principal,12.00
Oseja de Sajambre-Panderruedas - Principal,7.07
Sierra de Cocón (Oceño-San Esteban) - Principal,11.47
Refugio de Vega de Ario-Refugio de Vegarredonda - Principal,7.66
Refugio de Vegarredonda-Refugio de Vegabaño - Principal,15.42
Refugio de Vega de Ario-Caín (por Canal de Trea) - Principal,6.27
Refugio de Vegarredonda-Caín (por la Canal de Mesones) - Principal,12.79
Refugio de Vega de Urriellu-Refugio del Jou de los Cabrones - Principal,3.88
El Cable-Refugio de Vega de Urriellu - Principal,8.34
El Cable-Refugio de Vega de Urriellu - Variante,1.09
Refugio de Vega de Urriellu-Refugio de Collado Jermoso (Por Tiro Callejo) - Principal,7.88
Refugio de Vega de Urriellu-Refugio de Collado Jermoso (Por Tiro Callejo) - Variante,0.38
Refugio de Vega de Urriellu-Refugio de Collado Jermoso (Por Tiro Callejo) - Variante,1.09
Refugio de Vega de Urriellu-Refugio de Collado Jermoso (Por Tiro Callejo) - Derivación,0.09
Refugio de Ándara-Canal de San Carlos-Argüébanes - Principal,10.67
Refugio de Ándara-Canal de San Carlos-Argüébanes - Variante,0.56
El Cable-Vega de Liordes - Principal,12.72
El Cable-Vega de Liordes - Variante,0.67
Enlace La Jocica-Carombo - Soto-Vegabaño - Enlace,1.14
Enlace Monte Camba (Tielve-Sotres) - Macizo de Ándara - Enlace,2.93
Enlace Soto-Vegabaño - Senda del Arcediano - Enlace,0.09
Enlace Refugio de Vegarredonda-Refugio de Vegabaño - Vega de Llos - Enlace,1.53
La Farfada - Principal,6.73
Ruta del Cares - Principal,20.53
Cueva de Santibañas (Ruta corta) - Principal,1.74
Sierra de Cocón (Oceño-Tresviso) - Principal,13.08
Refugio de Vega de Urriellu-Refugio de Collado Jermoso (Por Tiro Casares) - Principal,8.93
Peña Oviedo (El Cable-Mogrovejo) - Principal,15.54
Vega de Llos - Principal,12.71
Hayedo de Las Ilces - Principal,11.61
Vega de Urriellu - Principal,20.85
Macizo de Ándara - Principal,27.63
Macizo de Ándara - Derivación,0.16
Los Valles de Conangles y Rius - Principal,20.72
Camino de Sant Maurici al Portarró d'Espot - Principal,0.41
Hacia las Agulles d’Amitges - Principal,4.49
