,other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
229,2365,P,,Armeria villosa subsp. longiaristata (Boiss. & Reut.) Nieto Fel.,,,,,,R,D,ES0000259,2023,135,np,203,
230,2366,P,,Armeria villosa subsp. provillosa (Bernis) Nieto Fel.,,,,,,P,D,ES4210017,2023,135,np,203,
231,2378,P,,Asparagus albus L.,,,,,,R,D,ES6320001,2023,135,np,203,
232,2390,P,,Asperula paui Font Quer,,,,,,,A,ES0000078,2023,135,np,203,
233,2392,P,,Asperula paui subsp. dianensis (Font Quer) Romo,,,,,,,B,ES5211009,2023,135,np,203,
234,2412,P,,Argyrolobium uniflorum (Decne.) Jaub. & Spach,,,4.0,4.0,grids1x1,R,"A,D",ES0000257,2023,135,np,203,22.0
235,2416,P,,Arisarum proboscideum (L.) Savi,,,94.0,94.0,i,V,"A,D",ES0000049,2023,135,np,203,36.0
236,2418,P,,Arisarum vulgare O. Targ.-Tozz.,,,,,,C,D,ES6320001,2023,135,np,203,
237,2419,P,,Aristolochia baetica L.,,,,,,C,B,ES6310001,2023,135,np,203,
238,2420,P,,Aristolochia bianorii Sennen & Pau,,,,,,,B,ES0000073,2023,135,np,203,
239,2421,P,,Aristolochia clematitis L.,,,,,,,D,ES0000060,2023,135,np,203,
240,2441,P,,Armeria bigerrensis (C. Vicioso & Beltrán) Rivas Mart.,,,,,,P,B,ES4320038,2023,135,np,203,
241,2446,P,,Armeria bourgaei Boiss. ex Merino subsp. bourgaei,,,10000.0,200000.0,tufts,C,D,ES6110003,2023,135,np,203,41.0
242,2447,P,,Armeria bourgaei subsp. lanceobracteata (G.H.M. Lawr.) Nieto Fel.,,,,,tufts,P,D,ES6110003,2023,135,np,203,41.0
243,2451,P,,Armeria caespitosa (Gómez Ortega) Boiss.,,,,,,C,B,ES3110004,2023,135,np,203,
244,2452,P,,Armeria cantabrica Willk.,,,,,,P,D,ES2110018,2023,135,np,203,
245,2453,P,,Armeria capitella Pau,,,28.0,28.0,i,R,D,ES6160005,2023,135,np,203,36.0
246,2457,P,,Armeria colorata Pau,,,170.0,200.0,i,P,"A,B,D",ES6170006,2023,135,np,203,36.0
247,2460,P,,Armeria euscadiensis Donad. & Vivant,,,,,,C,"B,D",ES0000144,2023,135,np,203,
248,2462,P,,Armeria fontqueri Pau,,,,,,P,"A,B",ES2420036,2023,135,np,203,
249,2463,P,,Armeria gaditana Boiss.,,,500.0,620.0,i,R,"A,D",ES6170002,2023,135,np,203,36.0
250,2464,P,,Armeria genesiana Nieto Fel.,,,,,,P,A,ES4320011,2023,135,np,203,
251,2465,P,,Armeria genesiana Nieto Fel. subsp. genesiana,,,,,,P,"A,B",ES0000090,2023,135,np,203,
252,2467,P,,Armeria godayana Font Quer,,,78.0,78.0,grids1x1,,"A,B",ES2420126,2023,135,np,203,22.0
253,2468,P,,Armeria hirta Willd.,,,1999.0,1999.0,i,V,"A,D",ES0000049,2023,135,np,203,36.0
254,2469,P,,Armeria hispalensis Pau,,,,,,P,"B,D",ES0000024,2023,135,np,203,
255,2476,P,,Armeria macrophylla Boiss. & Reut.,,,,,i,C,D,ES0000049,2023,135,np,203,36.0
256,2477,P,,Armeria malacitana Nieto Fel.,,,,,,P,D,ES6170011,2023,135,np,203,
257,2482,P,,Armeria pauana (Bernis) Nieto Fel.,,,1180.0,1180.0,i,R,D,ES6160006,2023,135,np,203,36.0
258,2485,P,,Armeria pubigera (Desf.) Boiss.,,,,,,P,B,ES0000087,2023,135,np,203,
259,2487,P,,Armeria pungens (Link) Hoffmanns. & Link,,,400.0,1000.0,i,C,D,ES0000337,2023,135,np,203,36.0
260,2488,P,,Armeria quichiotis (Gonz.-Albo) A.W. Hill,,,,,,P,"A,B,D",ES4210017,2023,135,np,203,
261,2496,P,,Armeria splendens (Lag. & Rodr.) Webb,,,,,i,P,"A,B,D",ES6140004,2023,135,np,203,36.0
262,2497,P,,Armeria trachyphylla Lange,,,,,,R,"B,D",ES4230013,2023,135,np,203,
263,2499,P,,Armeria velutina,,1.0,,,,R,,ES0000025,2023,135,c,202,
264,2499,P,,Armeria velutina,,,13459404.0,42250133.0,area,P,,ES0000024,2023,135,p,201,9.0
265,2502,P,,Armeria villosa subsp. alcaracensis Nieto Fel.,,,,,,P,"B,D",ES4210008,2023,135,np,203,
266,2505,P,,Arum cylindraceum Gasp.,,,,,,P,D,ES2120002,2023,135,np,203,
267,2509,P,,Arum pictum L. f.,,,,,,,B,ES0000073,2023,135,np,203,
