ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
1337,GR-285. Etapa 02. Azpeitia-Tolosa,,GR-285. Etapa 02. Azpeitia-Tolosa ,"25,4",,,GRXX0285_00E002_0,,País Vasco/Euskadi,Gipuzkoa
1342,GR-35. Etapa 01. Zarautz-Bidegoian,,GR-35. Etapa 01. Zarautz-Bidegoian ,"22,79",,,GRXX0035_00E001_0,,País Vasco/Euskadi,Gipuzkoa
1376,GR-282. Etapa 09. Espejo-Nanclares de Oca,,GR-282. Etapa 09. Espejo-Nanclares de Oca ,"34,38",,,GRXX0282_00E009_0,,País Vasco/Euskadi,Araba/Álava
1445,GR-286. Etapa 01. Zumaia-Loiola,,GR-286. Etapa 01. Zumaia-Loiola ,"24,73",,,GRXX0286_00E001_0,,País Vasco/Euskadi,Gipuzkoa
1543,GR-35. Etapa 02. Bidegoian-Zaldibia,,GR-35. Etapa 02. Bidegoian-Zaldibia ,"22,01",,,GRXX0035_00E002_0,,País Vasco/Euskadi,Gipuzkoa
1603,GR-285. Etapa 01. Elgoibar-Azpeitia,,GR-285. Etapa 01. Elgoibar-Azpeitia ,"29,03",,,GRXX0285_00E001_0,,País Vasco/Euskadi,Gipuzkoa
1612,GR-121. Etapa 09. Udala-Leintz Gatzaga,,GR-121. Etapa 09. Udala-Leintz Gatzaga ,"26,22",,,GRXX0121_00E009_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
1636,GR-286. Etapa 03. Antio-Brinkola,,GR-286. Etapa 03. Antio-Brinkola ,"15,83",,,GRXX0286_00E003_0,,País Vasco/Euskadi,Gipuzkoa
1748,GR-282. Etapa 02. Alto de Arlabán-Santuario de Urkiola,,GR-282. Etapa 02. Alto de Arlabán-Santuario de Urkiola ,"24,86",,,GRXX0282_00E002_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
1778,GR-282. Etapa 04. Refugio Ángel Sopeña de Arraba (Vizcaya)-Izarra (Álava),,GR-282. Etapa 04. Refugio Ángel Sopeña de Arraba (Vizcaya)-Izarra (Álava) ,"25,82",,,GRXX0282_00E004_0,,País Vasco/Euskadi,Araba/Álava
1851,GR-229. Etapa 02. Apatamonasterio (Atxondo)-Berriz,,GR-229. Etapa 02. Apatamonasterio (Atxondo)-Berriz ,"9,47",,,GRXX0229_00E002_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
1924,GR-121. Etapa 04. Orio-Zumaia,,GR-121. Etapa 04. Orio-Zumaia ,"16,37",,,GRXX0121_00E004_0,,País Vasco/Euskadi,Gipuzkoa
1956,GR-283. Etapa 02. Ordizia-Segura,,GR-283. Etapa 02. Ordizia-Segura ,"13,2",,,GRXX0283_00E002_0,,País Vasco/Euskadi,Gipuzkoa
1970,GR-286. Etapa 02. Loiola-Antio,,GR-286. Etapa 02. Loiola-Antio ,"14,73",,,GRXX0286_00E002_0,,País Vasco/Euskadi,Gipuzkoa
2036,GR-229. Etapa 01. Durango-Apatamonasterio (Atxondo),,GR-229. Etapa 01. Durango-Apatamonasterio (Atxondo) ,"22,53",,,GRXX0229_00E001_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2040,GR-229. Etapa 03. Berriz-Garai,,GR-229. Etapa 03. Berriz-Garai ,"17,74",,,GRXX0229_00E003_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2058,GR-38. Etapa 04A. Santuario de Estibáliz-Legutio,,GR-38. Etapa 04A. Santuario de Estibáliz-Legutio ,"27,28",,,GRXX0038_00E004_A,,País Vasco/Euskadi,Araba/Álava
2092,GR-283. Etapa 04. Mirandaola-Arantzazu,,GR-283. Etapa 04. Mirandaola-Arantzazu ,"12,69",,,GRXX0283_00E004_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
2132,GR-286. Etapa 04. Brinkola-Arantzazu,,GR-286. Etapa 04. Brinkola-Arantzazu ,"10,37",,,GRXX0286_00E004_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
2138,GR-285. Etapa 00. Kalamua-Elgoibar,,GR-285. Etapa 00. Kalamua-Elgoibar ,"9,14",,,GRXX0285_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
2227,GR-25. Etapa 02. Adana-San Román de San Millán,,GR-25. Etapa 02. Adana-San Román de San Millán ,"24,16",,,GRXX0025_00E002_0,,País Vasco/Euskadi,Araba/Álava
2320,GR-229. Etapa 05. Amorebieta-Etxano-Durango,,GR-229. Etapa 05. Amorebieta-Etxano-Durango ,"21,29",,,GRXX0229_00E005_0,,País Vasco/Euskadi,Bizkaia
2338,GR-229. Etapa 04. Garai-Amorebieta-Etxano,,GR-229. Etapa 04. Garai-Amorebieta-Etxano ,"20,27",,,GRXX0229_00E004_0,,País Vasco/Euskadi,Bizkaia
2405,GR-38. Etapa 02A. Laguardia-Lagrán,,GR-38. Etapa 02A. Laguardia-Lagrán ,"11,35",,,GRXX0038_00E002_A,,País Vasco/Euskadi,Araba/Álava
2457,GR-25. Etapa 06. Legutio-Olano,,GR-25. Etapa 06. Legutio-Olano ,"21,76",,,GRXX0025_00E006_0,,País Vasco/Euskadi,Araba/Álava
2478,GR-38. Etapa 04B. Legutio-Otxandio,,GR-38. Etapa 04B. Legutio-Otxandio ,"10,04",,,GRXX0038_00E004_B,,País Vasco/Euskadi,Araba/Álava
2483,GR-25. Etapa 05. Barria-Legutio,,GR-25. Etapa 05. Barria-Legutio ,"29,68",,,GRXX0025_00E005_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
2486,GR-38. Etapa 02B. Lagrán-Albaina (Burgos),,GR-38. Etapa 02B. Lagrán-Albaina (Burgos) ,"11,03",,,GRXX0038_00E002_B,,País Vasco/Euskadi,Araba/Álava
2507,GR-25. Etapa 01. Olárizu (Vitoria-Gasteiz)-Adana,,GR-25. Etapa 01. Olárizu (Vitoria-Gasteiz)-Adana ,"22,58",,,GRXX0025_00E001_0,,País Vasco/Euskadi,Araba/Álava
2511,GR-1. Etapa 54. Bernedo-Lagrán,,GR-1. Etapa 54. Bernedo-Lagrán ,"10,9",,,GRXX0001_00E054_0,,País Vasco/Euskadi,Araba/Álava
2519,GR-1. Etapa 55. Lagrán-Pipaón,,GR-1. Etapa 55. Lagrán-Pipaón ,"8,55",,,GRXX0001_00E055_0,,País Vasco/Euskadi,Araba/Álava
2529,GR-121. Etapa 06. Deba-Saturraran,,GR-121. Etapa 06. Deba-Saturraran ,"8,75",,,GRXX0121_00E006_0,,País Vasco/Euskadi,Gipuzkoa
2579,PR-BI 052. Hayedos de Otxandio,,PR-BI 052. Hayedos de Otxandio ,"6,42",,,PRBI0052_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2591,"PR-BI 016. Caminos de ayer, caminantes de hoy",,"PR-BI 016. Caminos de ayer, caminantes de hoy ","13,86",,,PRBI0016_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2592,PR-BI 041. Baltzoia: senda mitológica,,PR-BI 041. Baltzoia: senda mitológica ,"5,49",,,PRBI0041_00E000_0,,País Vasco/Euskadi,Bizkaia
2596,PR-GI 038. Leintz Gatzaga-Leintz Gatzaga,,PR-GI 038. Leintz Gatzaga-Leintz Gatzaga ,"8,74",,,PRGI0038_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
2600,PR-BI 051. Por las calzadas de Otxandio,,PR-BI 051. Por las calzadas de Otxandio ,"4,96",,,PRBI0051_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2601,PR-BI 050. La Besabisitta,,PR-BI 050. La Besabisitta ,"24,86",,,PRBI0050_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2606,PR-BI 086. Siguiendo el río Mendiola,,PR-BI 086. Siguiendo el río Mendiola ,"7,75",,,PRBI0086_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2623,PR-BI 035. Zubiaur-Santa Marina-Zubiaur,,PR-BI 035. Zubiaur-Santa Marina-Zubiaur ,"10,24",,,PRBI0035_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2626,PR-BI 025. Sendero de Munitibar-Arbatxegi-Gerritokoitz,,PR-BI 025. Sendero de Munitibar-Arbatxegi-Gerritokoitz ,"12,26",,,PRBI0025_00E000_0,,País Vasco/Euskadi,Bizkaia
2627,PR-BI 180. Oma-Basondo. Por el valle encantado,,PR-BI 180. Oma-Basondo. Por el valle encantado ,"6,01",,,PRBI0180_00E000_0,,País Vasco/Euskadi,Bizkaia
2628,PR-BI 161. Atxarre. En pleno corazón del Encinar,,PR-BI 161. Atxarre. En pleno corazón del Encinar ,"8,29",,,PRBI0161_00E000_0,,País Vasco/Euskadi,Bizkaia
2633,PR-BI 034. Zubiaur-Zubiaur,,PR-BI 034. Zubiaur-Zubiaur ,"14,97",,,PRBI0034_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2641,PR-BI 027. Sendero a Urregarai y Santa Eufemia,,PR-BI 027. Sendero a Urregarai y Santa Eufemia ,"4,95",,,PRBI0027_00E000_0,,País Vasco/Euskadi,Bizkaia
2652,PR-BI 024.1 Variante de Iparragirre,,PR-BI 024.1 Variante de Iparragirre ,"4,18",,,PRBI0024_01E000_0,,País Vasco/Euskadi,Bizkaia
2685,PR-BI 176. Katillotxu. Una mirada al pasado megalítico,,PR-BI 176. Katillotxu. Una mirada al pasado megalítico ,"8,31",,,PRBI0176_00E000_0,,País Vasco/Euskadi,Bizkaia
2704,PR-BI 182. Muxika. Por los caminos del interior,,PR-BI 182. Muxika. Por los caminos del interior ,"10,07",,,PRBI0182_00E000_0,,País Vasco/Euskadi,Bizkaia
2718,PR-BI 033. Ibarra-Ibarra,,PR-BI 033. Ibarra-Ibarra ,"5,94",,,PRBI0033_00E000_0,,País Vasco/Euskadi,Bizkaia
2762,PR-BI 210. Caminos del Agua,,PR-BI 210. Caminos del Agua ,"8,17",,,PRBI0210_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2805,PR-BI 165. Ogoño. Ruta hacia el Mar,,PR-BI 165. Ogoño. Ruta hacia el Mar ,"6,48",,,PRBI0165_00E000_0,,País Vasco/Euskadi,Bizkaia
2818,PR-GI 1005. De Errenteria a Aiko Harria,,PR-GI 1005. De Errenteria a Aiko Harria ,"7,28",,,PRGI1005_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2820,PR-GI 091. Arrasate-Arrasate,,PR-GI 091. Arrasate-Arrasate ,"8,73",,,PRGI0091_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2821,PR-GI 077. Larraul-Larraul,,PR-GI 077. Larraul-Larraul ,"10,0",,,PRGI0077_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2823,PR-GI 076. Asteasu-Zelatun,,PR-GI 076. Asteasu-Zelatun ,"7,3",,,PRGI0076_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2825,PR-GI 074. Aldaba-Aldaba,,PR-GI 074. Aldaba-Aldaba ,"10,26",,,PRGI0074_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2826,PR-GI 046. Lastur-Lastur,,PR-GI 046. Lastur-Lastur ,"19,02",,,PRGI0046_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2827,PR-GI 044. Deba-Deba,,PR-GI 044. Deba-Deba ,"18,06",,,PRGI0044_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2828,PR-GI 043. Mendaro-Mendaro,,PR-GI 043. Mendaro-Mendaro ,"9,35",,,PRGI0043_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
2829,PR-GI 042. Mendaro-Mendaro,,PR-GI 042. Mendaro-Mendaro ,"4,87",,,PRGI0042_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2835,PR-BI 254. Larrabetzu Larrabetzu,,PR-BI 254. Larrabetzu Larrabetzu ,"11,35",,,PRBI0254_00E000_0,,País Vasco/Euskadi,Bizkaia
2837,PR-BI 080. Conociendo Urkiola,,PR-BI 080. Conociendo Urkiola ,"7,1",,,PRBI0080_00E000_0,,País Vasco/Euskadi,Bizkaia
2841,PR-BI 082. Dima Dima,,PR-BI 082. Dima Dima ,"3,43",,,PRBI0082_00E000_0,,País Vasco/Euskadi,Bizkaia
2842,PR-BI 081. Dima Dima,,PR-BI 081. Dima Dima ,"9,58",,,PRBI0081_00E000_0,,País Vasco/Euskadi,Bizkaia
2860,PR-GI 143. Zestoa-Errezil,,PR-GI 143. Zestoa-Errezil ,"15,1",,,PRGI0143_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2862,PR-GI 141. Zumaia-Aizarnazabal,,PR-GI 141. Zumaia-Aizarnazabal ,"7,31",,,PRGI0141_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2864,PR-GI 140. Zumaia-Zestoa,,PR-GI 140. Zumaia-Zestoa ,"7,81",,,PRGI0140_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2866,PR-GI 139. Azkoitia-Azkoitia,,PR-GI 139. Azkoitia-Azkoitia ,"8,46",,,PRGI0139_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2868,PR-GI 138. Azpeitia-Zestoa,,PR-GI 138. Azpeitia-Zestoa ,"13,62",,,PRGI0138_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2874,PR-GI 122. Elgoibar (Ermita de San Pedro)-Elgoibar ( Ermita de San Pedro),,PR-GI 122. Elgoibar (Ermita de San Pedro)-Elgoibar ( Ermita de San Pedro) ,"10,47",,,PRGI0122_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
2875,PR-GI 117. Zizurkil-Zizurkil,,PR-GI 117. Zizurkil-Zizurkil ,"11,37",,,PRGI0117_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2876,PR-GI 115. Ibarra-Ibarra,,PR-GI 115. Ibarra-Ibarra ,"10,63",,,PRGI0115_00E000_0,,País Vasco/Euskadi,Gipuzkoa
2913,PR-BI 101. Ruta Peñas Blancas,,PR-BI 101. Ruta Peñas Blancas ,"9,01",,,PRBI0101_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2922,PR-BI 085. Vuelta al Amboto,,PR-BI 085. Vuelta al Amboto ,"18,82",,,PRBI0085_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2925,PR-BI 100. Ruta de las Minas y Seles,,PR-BI 100. Ruta de las Minas y Seles ,"14,93",,,PRBI0100_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2926,PR-BI 100.2 Ruta de Minas y Seles. Zamaia,,PR-BI 100.2 Ruta de Minas y Seles. Zamaia ,"3,73",,,PRBI0100_02E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2929,PR-BI 073. Santa Marina-Santruan,,PR-BI 073. Santa Marina-Santruan ,"8,01",,,PRBI0073_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
2933,PR-BI 100.1 Ruta de Mina y Seles. Tontorra,,PR-BI 100.1 Ruta de Mina y Seles. Tontorra ,"3,75",,,PRBI0100_01E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2934,PR-BI 220. Sabor a Mar,,PR-BI 220. Sabor a Mar ,"11,2",,,PRBI0220_00E000_0,,País Vasco/Euskadi,Bizkaia
2940,PR-BI 083. Gran Travesía de Legarmendi,,PR-BI 083. Gran Travesía de Legarmendi ,"16,94",,,PRBI0083_00E000_0,,País Vasco/Euskadi,Bizkaia
2960,PR-BI 023. Sendero del Max O Kalamua,,PR-BI 023. Sendero del Max O Kalamua ,"8,27",,,PRBI0023_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
2961,PR-BI 015. Piedras Rojas de Arrigorriaga,,PR-BI 015. Piedras Rojas de Arrigorriaga ,"7,12",,,PRBI0015_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
2970,PR-BI 028. Bolibar-Casería Kortaguren,,PR-BI 028. Bolibar-Casería Kortaguren ,"5,85",,,PRBI0028_00E000_0,,País Vasco/Euskadi,Bizkaia
2971,PR-BI 024. Senda de Iturrieta y Trabakua,,PR-BI 024. Senda de Iturrieta y Trabakua ,"10,43",,,PRBI0024_00E000_0,,País Vasco/Euskadi,Bizkaia
2974,PR-BI 022. Sendero de Urkarregi,,PR-BI 022. Sendero de Urkarregi ,"9,09",,,PRBI0022_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
2978,PR-BI 167. Golako Por los valles encantados,,PR-BI 167. Golako Por los valles encantados ,"4,93",,,PRBI0167_00E000_0,,País Vasco/Euskadi,Bizkaia
2986,PR-BI 026. Sendero de Aulesti,,PR-BI 026. Sendero de Aulesti ,"9,58",,,PRBI0026_00E000_0,,País Vasco/Euskadi,Bizkaia
2992,PR-BI 174. Nabarniz. Illunztzar,,PR-BI 174. Nabarniz. Illunztzar ,"10,33",,,PRBI0174_00E000_0,,País Vasco/Euskadi,Bizkaia
2996,PR-BI 028.1 Variante de Axpe,,PR-BI 028.1 Variante de Axpe ,"3,32",,,PRBI0028_01E000_0,,País Vasco/Euskadi,Bizkaia
3012,PR-BI 023.1 Variante de Barinaga,,PR-BI 023.1 Variante de Barinaga ,"3,85",,,PRBI0023_01E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
3015,PR-GI 114. Tolosa (Zuloaga)-Tolosa (Barrio de San Esteban),,PR-GI 114. Tolosa (Zuloaga)-Tolosa (Barrio de San Esteban) ,"10,6",,,PRGI0114_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3018,PR-GI 108. Santuario de Nuestra Señora de Arrate-Santuario de Nuestra Señora de Arrate,,PR-GI 108. Santuario de Nuestra Señora de Arrate-Santuario de Nuestra Señora de Arrate ,"6,25",,,PRGI0108_00E000_0,,País Vasco/Euskadi,"Bizkaia, Gipuzkoa"
3020,PR-GI 107. Oñati-Oñati,,PR-GI 107. Oñati-Oñati ,"5,98",,,PRGI0107_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3023,PR-GI 101. Antzuola-Antzuola,,PR-GI 101. Antzuola-Antzuola ,"7,67",,,PRGI0101_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3024,PR-GI 142. Zestoa-Aizarnazabal,,PR-GI 142. Zestoa-Aizarnazabal ,"5,03",,,PRGI0142_00E000_0,,País Vasco/Euskadi,Gipuzkoa
