ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
2052,GR-220. Etapa 02. Ardanaz/Ardanatz-Noáin,,GR-220. Etapa 02. Ardanaz/Ardanatz-Noáin ,"20,57",,,GRXX0220_00E002_0,,Comunidad Foral de Navarra,Navarra
2054,GR-20. Etapa 03. Etxebarri-Iribas,,GR-20. Etapa 03. Etxebarri-Iribas ,"12,95",,,GRXX0020_00E003_0,,Comunidad Foral de Navarra,Navarra
2059,GR-11. Etapa 07. Ochagavía (Otsagabia)-Isaba,,GR-11. Etapa 07. Ochagavía (Otsagabia)-Isaba ,"20,58",,,GRXX0011_00E007_0,,Comunidad Foral de Navarra,Navarra
2269,GR-220. Etapa 06. Oteiza/Oteitza-Merendero de Zubialdea,,GR-220. Etapa 06. Oteiza/Oteitza-Merendero de Zubialdea ,"17,41",,,GRXX0220_00E006_0,,Comunidad Foral de Navarra,Navarra
2303,GR-12. Etapa 07. Collado Azpegi-Puerto Iturzaeta,,GR-12. Etapa 07. Collado Azpegi-Puerto Iturzaeta ,"31,38",,,GRXX0012_00E007_0,,Comunidad Foral de Navarra,Navarra
2304,GR-12. Etapa 05. Collado de Belate-Collado de Aztakarri,,GR-12. Etapa 05. Collado de Belate-Collado de Aztakarri ,"25,69",,,GRXX0012_00E005_0,,Comunidad Foral de Navarra,Navarra
2313,GR-12. Etapa 06. Collado de Aztakarri-Collado Azpegi,,GR-12. Etapa 06. Collado de Aztakarri-Collado Azpegi ,"22,01",,,GRXX0012_00E006_0,,Comunidad Foral de Navarra,Navarra
2321,GR-11. Etapa 05. Burguete (Auritz)-Villanueva de Aezkoa (Hiriberri),,GR-11. Etapa 05. Burguete (Auritz)-Villanueva de Aezkoa (Hiriberri) ,"16,89",,,GRXX0011_00E005_0,,Comunidad Foral de Navarra,Navarra
2327,GR-220. Etapa 04. Belascoáin/Beraskoain-Eguillor/Egillor,,GR-220. Etapa 04. Belascoáin/Beraskoain-Eguillor/Egillor ,"18,5",,,GRXX0220_00E004_0,,Comunidad Foral de Navarra,Navarra
2339,GR-20. Etapa 02. San Miguel de Aralar-Etxeberri,,GR-20. Etapa 02. San Miguel de Aralar-Etxeberri ,"14,01",,,GRXX0020_00E002_0,,Comunidad Foral de Navarra,Navarra
2342,GR-11. Etapa 04. Urkiaga-Burguete (Auritz),,GR-11. Etapa 04. Urkiaga-Burguete (Auritz) ,"17,24",,,GRXX0011_00E004_0,,Comunidad Foral de Navarra,Navarra
2352,GR-220. Etapa 03. Noáin-Belascoáin/Beraskoain,,GR-220. Etapa 03. Noáin-Belascoáin/Beraskoain ,"24,14",,,GRXX0220_00E003_0,,Comunidad Foral de Navarra,Navarra
2412,GR-225.1. Etapa 01. Leranotz-Usetxi,,GR-225.1. Etapa 01. Leranotz-Usetxi ,"4,6",,,GRXX0225_01E001_0,,Comunidad Foral de Navarra,Navarra
2418,GR-20.2. Etapa 01. Aupeta-Arrate,,GR-20.2. Etapa 01. Aupeta-Arrate ,"5,54",,,GRXX0020_02E000_0,,Comunidad Foral de Navarra,Navarra
3696,PR-NA 121. Kornieta,,PR-NA 121. Kornieta ,"13,86",,,PRNA0121_00E000_0,,Comunidad Foral de Navarra,Navarra
3791,PR-NA 194. Iturrixkin-Monte de Arriba,,PR-NA 194. Iturrixkin-Monte de Arriba ,"9,5",,,PRNA0194_00E000_0,,Comunidad Foral de Navarra,Navarra
3835,PR-NA 201. Subida a San Donato Igoera,,PR-NA 201. Subida a San Donato Igoera ,"9,51",,,PRNA0201_00E000_0,,Comunidad Foral de Navarra,Navarra
3915,PR-NA 202. Ruta del Zumaque,,PR-NA 202. Ruta del Zumaque ,"13,18",,,PRNA0202_00E000_0,,Comunidad Foral de Navarra,Navarra
4299,SL-NA-172. Circular de Ezkaba,,SL-NA-172. Circular de Ezkaba ,"7,31",,,SLNA0172_00E000_0,,Comunidad Foral de Navarra,Navarra
4302,SL-NA-131. Aixita,,SL-NA-131. Aixita ,"3,65",,,SLNA0131_00E000_0,,Comunidad Foral de Navarra,Navarra
4324,SL-NA-071. Senderos de Uztarroz,,SL-NA-071. Senderos de Uztarroz ,"3,97",,,SLNA0071_00E000_0,,Comunidad Foral de Navarra,Navarra
4333,SL-NA-076. Camino de la Boca,,SL-NA-076. Camino de la Boca ,"4,91",,,SLNA0076_00E000_0,,Comunidad Foral de Navarra,Navarra
4391,SL-NA-070. Ermita de Idoia,,SL-NA-070. Ermita de Idoia ,"2,13",,,SLNA0070_00E000_0,,Comunidad Foral de Navarra,Navarra
4413,SL-NA-140. Senda de los Pescadores,,SL-NA-140. Senda de los Pescadores ,"1,39",,,SLNA0140_00E000_0,,Comunidad Foral de Navarra,Navarra
4507,VV del Bidasoa,,VV del Bidasoa ,"41,34",,,VVBIDA_021,Bidasoa Greenway,Comunidad Foral de Navarra,Navarra
4561,VV del FC. Vasco Navarro,,VV del FC. Vasco Navarro ,"97,02",,,VVVAN1_133,Vasco - Navarro Railway Greenway,Comunidad Foral de Navarra,Navarra
4610,VV del Plazaola,,VV del Plazaola ,"64,52",,,VVPLAZ_092,Plazaola-Leitzaran Greenway,Comunidad Foral de Navarra,Navarra
252,Camino Natural del Agua Soriano. Camino Antonino,Etapa 6: Tarazona - Tudela (itinerario senderista),Camino Natural del Agua Soriano. Camino Antonino Etapa 6: Tarazona - Tudela (itinerario senderista),"21,7060421618",CN por etapas (6),,,,"Aragón, Comunidad Foral de Navarra","Navarra, Zaragoza"
337,Camino Natural Vía Verde del Tarazonica,,Camino Natural Vía Verde del Tarazonica ,"21,8729134979",Itinerario principal,,,,"Aragón, Comunidad Foral de Navarra","Navarra, Zaragoza"
347,Camino Natural del Ebro,Etapa 16.2: Ramal a Mendavía,Camino Natural del Ebro Etapa 16.2: Ramal a Mendavía,"0,9100327039",CN por etapas (60),,,,"Comunidad Foral de Navarra, La Rioja","La Rioja, Navarra"
