ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
3362,PR-CE 002. Plaza de África-Plaza de África,,PR-CE 002. Plaza de África-Plaza de África ,"10,61",,,PRCE0002_00E000_0,,Ciudad de Ceuta,Ceuta
4463,SL-CE-002. Embalse del Infierno-Embalse del Infierno,,SL-CE-002. Embalse del Infierno-Embalse del Infierno ,"2,68",,,SLCE0002_00E000_0,,Ciudad de Ceuta,Ceuta
4465,SL-CE-005. Merendero de Calamocarro-Pista de la Lastra,,SL-CE-005. Merendero de Calamocarro-Pista de la Lastra ,"1,75",,,SLCE0005_00E000_0,,Ciudad de Ceuta,Ceuta
4466,SL-CE-001. Aparcamiento Embalse Renegado-Aparcamiento Embalse Renegado,,SL-CE-001. Aparcamiento Embalse Renegado-Aparcamiento Embalse Renegado ,"2,77",,,SLCE0001_00E000_0,,Ciudad de Ceuta,Ceuta
4467,SL-CE-003. Playa de Calamocarro-Torre de Aranguren,,SL-CE-003. Playa de Calamocarro-Torre de Aranguren ,"2,81",,,SLCE0003_00E000_0,,Ciudad de Ceuta,Ceuta
4468,SL-CE-006. Puerta de Málaga. Fortaleza de Hacho-Puerta de Málaga. Fortaleza de Hacho,,SL-CE-006. Puerta de Málaga. Fortaleza de Hacho-Puerta de Málaga. Fortaleza de Hacho ,"1,87",,,SLCE0006_00E000_0,,Ciudad de Ceuta,Ceuta
